iteration,x1,x2,x3,x4,x5
1,329775.2934853388,296476.2997457797,148062.35917869094,1.067288522969686e6,524124.6962499887
2,1.1678227644491997e6,882597.4516185365,657781.0079493064,459637.02766743506,236214.91988217673
3,1.453291014854394e6,1.2355164347017277e6,1.1066177803922524e6,873944.0680611073,524124.69624998263
4,1.5122342172653207e6,1.2331800680374596e6,1.0417630342829227e6,475997.50774895033,235999.9845063782
5,1.5196051990833571e6,1.2508813978560306e6,835703.063360117,474239.10308094433,235998.6822815359
6,1.519735313623648e6,1.251008510275981e6,844005.6466879896,474242.18710532534,235999.46489269182
7,1.5278549321291558e6,1.2591296819301643e6,728874.0825039456,475837.0887952137,235998.87568751417
8,1.5317675389517252e6,1.263040779742487e6,1.0094052274607033e6,550468.2161537877,295496.0412046328
9,1.5375641447870028e6,1.2688374017163482e6,1.0260208518626885e6,734613.5913071397,383719.44777154934
10,1.5450348286955792e6,1.2763081015651803e6,896055.160222597,610381.1994520135,397102.05635342177
11,1.5494405375204675e6,1.280713935960819e6,715144.5820251586,474240.8211957441,235999.54264476732
12,1.5495298508430386e6,1.280803909176276e6,1.0265923452765802e6,678297.6607322169,478107.2802008516
13,1.5512796472224537e6,1.282553719666555e6,750585.6922103753,476633.92956265935,235998.9203960173
14,1.5512818208617195e6,1.2825560525553634e6,725959.4559629606,476100.5835158775,254587.16494912075
15,1.5642612143986374e6,1.2955352689944701e6,1.2586606743399836e6,1.3137767181038102e6,524124.6962499879
16,1.5686328608292728e6,1.2999070115225483e6,1.0377036219366936e6,474242.3858470325,251231.38123261346
17,1.5692265735351103e6,1.3005005357061476e6,1.0582910499091716e6,523181.81608428253,500719.91214997275
18,1.5710064686473985e6,1.3022810016460815e6,1.5335285876336382e6,770411.8989242071,240455.62675630342
19,1.571071657808554e6,1.30234596326137e6,716489.2440899252,474241.8604153808,237217.96960022915
20,1.5715861784210422e6,1.3028598278911575e6,910831.8449176049,498514.62828669837,364973.27619790984
21,1.5717263267679354e6,1.3030000249582324e6,1.0587470901472901e6,474309.0261655826,236311.2196878565
22,1.571857423313773e6,1.3031308111501304e6,883932.5863230883,474242.18731516553,236162.98416295304
23,1.5721630688976296e6,1.30343694021514e6,753643.7028660757,479350.58148499776,237144.8653372115
24,1.5721630688976296e6,1.303436863289819e6,910830.2718488264,478633.37048680853,497192.27815528726
25,1.5721630717009092e6,1.3034368660930987e6,910831.1672559646,478632.7172396499,302236.64596403844
26,1.5724174434567643e6,1.3036911990213515e6,885345.4880737341,546235.9039329288,347230.8403348072
27,1.5728407792747638e6,1.3041140493326983e6,1.0592900306825843e6,712102.8500741575,360537.5679092057
28,1.573900135384558e6,1.305173932138847e6,1.1233125630137878e6,565085.6198179836,314262.67995939776
29,1.57396709726476e6,1.3052413868927923e6,716430.9733936458,478289.2411167115,265289.8780217088
30,1.574467266387955e6,1.3057415663013747e6,1.06352601242755e6,1.0904429664285523e6,524124.2051543288
31,1.575143485510817e6,1.3064174011719883e6,888112.0355107023,483208.33089334145,347264.9825410922
32,1.5752708918580958e6,1.3065451727049556e6,917233.7149080607,480248.65111393225,236872.9810429219
33,1.5760438175979706e6,1.307317952143348e6,1.1143468335359357e6,480898.3031297561,243664.16473684588
34,1.5769737908965976e6,1.3082474465143532e6,1.0471905143397937e6,766900.5504475293,524078.1939536115
35,1.576973791790977e6,1.308247586341558e6,1.0471893719075772e6,474242.1966440733,235999.06105458454
36,1.5773762898674367e6,1.3086501820116132e6,1.1178572813577023e6,560084.0948531486,319605.2457145263
37,1.579289449067491e6,1.3105645533197166e6,936362.8003801514,589559.4820867418,247234.4503318651
38,1.579289449067491e6,1.310564419835331e6,2.0695528802194712e6,1.06276751500982e6,8.30615332529339e6
39,1.579289449067491e6,1.310564419835331e6,1.4713408538992163e6,1.3137780988468532e6,579887.360821244
40,1.5815431857233625e6,1.3128181564912023e6,1.4612886592474466e6,1.2270920484245638e6,524124.03321798943
41,1.5815431857233625e6,1.312818135072926e6,1.696790138631805e6,771080.0430486295,2.3769791584148277e6
42,1.5815431857233625e6,1.312818135072926e6,1.0942091392511164e6,731572.3796454861,243388.46055261086
43,1.5815431857233625e6,1.312818135072926e6,1.2977057358360733e6,2.189047894998148e6,1.299692540580145e6
44,1.5815431857233625e6,1.312818135072926e6,1.8193272812537537e6,1.9246970238196375e6,802721.0254516345
45,1.5815431857233625e6,1.312818135072926e6,1.4496824669483765e6,1.559313325953858e6,637340.3395585949
46,1.5815431857233625e6,1.312818135072926e6,1.24831921252303e6,619939.2002962539,603273.7033060053
47,1.5815431857233625e6,1.312818135072926e6,1.607939922617265e6,1.6821272603903674e6,1.3969701181771117e6
48,1.5815431857233625e6,1.312818135072926e6,1.3418067998648873e6,1.1549566924335165e6,534687.91365295
49,1.5815431857233625e6,1.312818135072926e6,1.5209548348375713e6,1.6325620322198742e6,721463.2842873931
50,1.5815431857233625e6,1.312818135072926e6,1.4484203586072645e6,1.2104140659908685e6,921313.0235068919
51,1.5815431857233625e6,1.312818135072926e6,1.1961404971015346e6,1.4363339203295792e6,298660.767416195
52,1.5815431857233625e6,1.312818135072926e6,966048.8951684525,1.1969967933697295e6,566515.2126175929
53,1.5815431857233625e6,1.312818135072926e6,1.4909784532676633e6,1.1751963319682442e6,528187.3520932137
54,1.5815431857233625e6,1.312818135072926e6,1.4806018408127972e6,1.6224613761488162e6,531903.9784502455
55,1.5815431857233625e6,1.312818135072926e6,1.4464134957408803e6,608902.23570829,235998.80386871664
56,1.5815431857233625e6,1.312818135072926e6,874786.2497738698,585095.7909308902,238505.6820610163
57,1.5815431857233625e6,1.312818135072926e6,1.400002944514411e6,549598.2959088145,450897.3140899001
58,1.5815431857233625e6,1.312818135072926e6,1.3976962259915248e6,1.5607447473156136e6,559947.2912824448
59,1.5815431857233625e6,1.312818135072926e6,1.3980510797618032e6,1.3024004191148896e6,521750.23752758093
60,1.5815431857233625e6,1.312818135072926e6,864207.88428522,543508.9321270781,462865.498936499
61,1.5815431857233625e6,1.312818135072926e6,1.4264677896905812e6,801038.2316964408,697525.023071998
62,1.5815431857233625e6,1.312818135072926e6,1.4445345196798733e6,602196.973191451,278499.940707949
63,1.5815431857233625e6,1.312818135072926e6,1.399729290477614e6,1.5026791427796045e6,528531.7985947242
64,1.5815431857233625e6,1.312818135072926e6,1.0727726757352613e6,1.290240502512904e6,1.2360501311994903e6
65,1.5815431857233625e6,1.312818135072926e6,1.4361815446799765e6,1.4891772307062708e6,568350.6706358293
66,1.5815431857233625e6,1.312818135072926e6,875663.9996387111,840049.6956212728,674383.7707103118
67,1.5815431857233625e6,1.312818135072926e6,1.268655435081602e6,1.470328907315732e6,359663.07772136515
68,1.5815431857233625e6,1.312818135072926e6,847185.5266585383,838599.6505991146,275876.22929457366
69,1.5815431857233625e6,1.312818135072926e6,848381.6974511934,976077.8631104869,443306.8217744655
70,1.5815431857233625e6,1.312818135072926e6,1.227281568227359e6,1.294032663433127e6,1.2613227996829567e6
71,1.5815431857233625e6,1.312818135072926e6,1.4017213729314422e6,1.4359510208905083e6,1.3103866476091323e6
72,1.5815431857233625e6,1.312818135072926e6,841234.0630246592,583662.3906173406,350337.1474806268
73,1.5815431857233625e6,1.312818135072926e6,1.3987127247292367e6,1.3961868853610144e6,986629.2430382543
74,1.5815431857233625e6,1.312818135072926e6,1.4451445553966546e6,547916.7901892618,235999.2259315408
75,1.5815431857233625e6,1.312818135072926e6,854018.4386832477,951767.1149930428,780537.7676724577
76,1.5815431857233625e6,1.312818135072926e6,1.447836411567173e6,1.1155868464075965e6,1.0029088130281204e6
77,1.5815431857233625e6,1.312818135072926e6,1.2405038261747179e6,540580.7298740766,235998.6983986804
78,1.5815431857233625e6,1.312818135072926e6,1.429026446810096e6,1.4525386514132423e6,1.1359374044139879e6
79,1.5815431857233625e6,1.312818135072926e6,1.375170499656973e6,536499.5980271938,235998.78509522817
80,1.5815431857233625e6,1.312818135072926e6,1.0356136937741819e6,707599.815510696,298199.32988245354
81,1.5815431857233625e6,1.312818135072926e6,1.3754098112650989e6,542643.1312482627,237503.66114932272
82,1.5815431857233625e6,1.312818135072926e6,1.4454067266353718e6,1.0917396053428962e6,237762.3996550254
83,1.5815431857233625e6,1.312818135072926e6,1.1622913759774882e6,534721.87717521,374990.64176746574
84,1.5815431857233625e6,1.312818135072926e6,841506.4642719561,538473.2885776993,235998.75703032565
85,1.5815431857233625e6,1.312818135072926e6,842088.6815382319,744995.0707222349,570258.6252290143
86,1.5815431857233625e6,1.312818135072926e6,1.5198028172731255e6,1.0965512912264145e6,578307.9769853454
87,1.5815431857233625e6,1.312818135072926e6,1.2462024210355454e6,963728.3445536788,477320.8629110352
88,1.5815431857233625e6,1.312818135072926e6,1.2382556220555003e6,1.0237351983742183e6,236674.69804936973
89,1.5815431857233625e6,1.312818135072926e6,1.0165941664264665e6,545458.9169155757,361777.1742339572
90,1.5815431857233625e6,1.312818135072926e6,1.3722924015504061e6,1.2725095439080177e6,267776.9336612964
91,1.5815431857233625e6,1.312818135072926e6,1.1463348627777183e6,1.22370180583419e6,970265.4355585943
92,1.5815431857233625e6,2.4453605119295507e6,2.6185792614427777e6,1.6061652572467737e6,1.2374753555323295e6
93,1.5815431857233625e6,1.7411841315367199e6,915651.4632980307,955034.820985111,652958.9102776041
94,1.5815431857233625e6,1.713148768261069e6,1.9476705127568021e6,672628.6071500592,479881.6715954258
95,1.5815431857233625e6,1.6700107192642335e6,1.553268793337903e6,1.6008167057012673e6,603604.6973905487
96,1.5815431857233625e6,1.6683343841947624e6,2.1991610691164895e6,878622.6281968765,1.1872640995853883e6
97,1.5815431857233625e6,1.6437753295744336e6,1.391254521496119e6,1.2339940959528284e6,408983.27661676507
98,1.5815431857233625e6,1.645921490282711e6,2.265313680220171e6,2.8859048934304593e6,796358.8938120152
99,1.5815431857233625e6,1.6417256067215907e6,939490.4428618189,537122.1045984591,292441.4557355385
100,1.5815431857233625e6,1.641627579693995e6,1.6970557413844885e6,1.0962643642116315e6,752835.998882622
101,1.5815431857233625e6,1.6415583227721225e6,911118.2480699397,802112.1378156487,245355.4322812796
102,1.5815431857233625e6,1.6415583227721225e6,1.4170998410419035e6,1.3192045681527127e6,426891.4410381826
103,1.5815431857233625e6,1.641558322772224e6,1.2020271393671704e6,1.1512494652688755e6,884509.1713422318
104,1.5815431857233625e6,1.641558322772224e6,1.1850783854359267e6,1.2274054407957988e6,978379.0160348127
105,1.5815431857233625e6,1.6419451481506359e6,1.7436581396220801e6,1.9193984695839966e6,1.4497348619282488e6
106,1.5815431857233625e6,1.6481365702454415e6,1.8393384994858876e6,1.1099064641267182e6,744911.7980656209
107,1.5815431857233625e6,1.641614986423994e6,2.4757619872137066e6,1.096201902273593e6,549157.5883747006
108,1.5815431857233625e6,1.6433814171224595e6,2.124323264746175e6,1.1094888137606364e6,1.0078007413965529e6
109,1.5815431857233625e6,1.6415827436755747e6,1.387799557039985e6,1.3453171711744205e6,530237.5574356505
110,1.5815431857233625e6,1.6415587192091863e6,1.175809334405726e6,861344.8245595819,524420.8500703913
111,1.5815431857233625e6,1.6415587192091863e6,1.6863647136827474e6,1.591483149289907e6,865828.4189134352
112,1.5815431857233625e6,1.6415587192091867e6,2.2169024439864606e6,1.243379432035545e6,538858.5915402772
113,1.5815431857233625e6,1.6415587192091867e6,1.1733304862049015e6,1.246972972420445e6,462683.5140202155
114,1.5815431857233625e6,1.6415587192091867e6,896806.1143627563,955414.6145644262,306561.2354886959
115,1.5815431857233625e6,1.6415646969734505e6,1.6840644773756997e6,1.8006288693648586e6,567930.2893073574
116,1.5815431857233625e6,1.641558702989088e6,893631.5841416747,573428.6243555043,389667.8835625199
117,1.5815431857233625e6,1.641558702989088e6,1.1477963219636786e6,1.6601825244686073e6,1.4124171469776956e6
118,1.5815431857233625e6,1.641558702989088e6,1.6843736254188293e6,555163.6647935386,235998.5410998726
119,1.5815431857233625e6,1.6464299606476394e6,2.0268994019981418e6,1.254721976579423e6,407835.070468066
120,1.5815431857233625e6,1.6553871163604148e6,1.9835992767234752e6,2.509096195652105e6,2.1406283544183206e6
121,1.5815431857233625e6,1.6064760941564483e6,1.0256792957756256e6,529518.7552855115,375332.4070065534
122,1.5815431857233625e6,1.6020738117854148e6,2.282071567897246e6,2.381099060968362e6,722874.7452938468
123,1.5815431857233625e6,1.6021601967343162e6,2.212685868672435e6,2.306804728516128e6,631352.942189832
124,1.5815431857233625e6,1.6083320853387192e6,1.7388401942774393e6,1.8524199275223073e6,1.1966411549243913e6
125,1.5815431857233625e6,1.5979471499924841e6,1.6757998931707172e6,1.509120460221338e6,1.0198091441301261e6
126,1.5815431857233625e6,1.584490827572723e6,1.0213050586472442e6,901920.1767087798,311188.46397214604
127,1.5815431857233625e6,1.5863673955067839e6,2.0010872344211973e6,1.1235627895799088e6,260981.17434522253
128,1.5815431857233625e6,1.5848284598793844e6,1.2612502775157383e6,1.2835926659076856e6,270960.2999747801
129,1.5815431857233625e6,1.5844906010756334e6,848300.8017404766,915979.572658136,322113.10334572603
130,1.5815431857233625e6,1.584490601075253e6,1.254537811945519e6,537558.7850060329,235998.67115318356
131,1.5815431857233625e6,1.584490601075634e6,843299.2883335517,789827.0815111268,752093.3360252976
132,1.5815431857233625e6,1.5874272559966776e6,1.9701767042318955e6,1.0391461392421452e6,237520.25967217045
133,1.5815431857233625e6,1.5844920358130205e6,1.2612997548109638e6,1.4395186494666282e6,442004.68838652945
134,1.5815431857233625e6,1.5844904413795872e6,847666.8165512381,526466.2177542939,235998.98461277012
135,1.5815431857233625e6,1.586368467590225e6,1.6690040479362104e6,1.2722652084048595e6,978335.8387697977
136,1.5815431857233625e6,1.5844905474201087e6,2.206421533056305e6,752368.4066658663,666406.8034668337
137,1.5815431857233625e6,1.5844905474201087e6,1.6497627166668456e6,540248.6900326074,479260.41801556083
138,1.5815431857233625e6,1.5847932825540598e6,1.6663121095438441e6,836257.9089886649,524419.5481343167
139,1.5815431857233625e6,1.583165138108423e6,1.1710855976957004e6,1.213458139773145e6,436109.5575436065
140,1.5815431857233625e6,1.5825645334055019e6,1.0382256335418844e6,882927.9991766214,236770.45564196602
141,1.5815431857233625e6,1.5829576091515236e6,1.6598993998475522e6,599732.5112761275,235998.6711531837
142,1.5815431857233625e6,1.5825741958364495e6,1.1646866395641435e6,1.2027458649856523e6,969408.6065381789
143,1.5815431857233625e6,1.5829909208168313e6,1.5798996502777804e6,520186.0470933403,237062.75143131462
144,1.5815431857233625e6,1.582564529116259e6,1.258366129590063e6,579108.7225325184,251120.49453426694
145,1.5815431857233625e6,1.5825662325806161e6,1.6627867987105213e6,1.972792536454672e6,411799.6400889461
146,1.5815431857233625e6,1.5825645387018574e6,850933.1811683471,513525.7672222934,279486.69451022276
147,1.5815431857233625e6,1.5825645387018574e6,1.252917365205544e6,866937.713831448,460523.1341569044
148,1.5815431857233625e6,1.5825645387044246e6,1.0366522764892061e6,514361.1876787238,309164.8151127045
149,1.5815431857233625e6,1.583268687947196e6,1.6624773158534681e6,1.689749521479778e6,1.2081353497621915e6
150,1.5815431857233625e6,1.5831245465752888e6,1.925898722539004e6,534491.2055622214,428975.0494354104
151,1.5815431857233625e6,1.5822609076074418e6,1.587906311161798e6,1.1283335086037866e6,984876.78164245
152,1.5815431857233625e6,1.556779314680365e6,1.163296653882293e6,510463.5402106937,235998.7076093186
153,1.5815431857233625e6,1.5568012092760005e6,1.8689645112645105e6,944906.8684954774,752435.2218218273
154,1.5815431857233625e6,1.5557684568526521e6,829869.387692197,514268.46405947383,235998.67115318452
155,1.5815431857233625e6,1.5563614743399248e6,1.8455042581062857e6,915769.9973191838,247444.17376526818
156,1.5815431857233625e6,1.555768624879161e6,1.5498857135031517e6,1.0895778165383749e6,810292.3212256823
