iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,6.119927615111174e14,1.625812870099225e15,1.635160347484372e15,1.782586647542465e15,1.7619971273635325e15,1.712117659643043e15,5.898801161905e14,7.05817906824167e14,1.0063563547233815e15,1.7000255487074865e15,5.5522013157042e14,221198.0
2,4.410348552749148e14,9.287614291889105e14,9.85474666112978e14,1.035980160848714e15,9.941668305316735e14,9.25120214566028e14,8.838432255200505e14,7.29783618303215e14,5.2169889705123e14,2.33792380423158e14,1.9396559134943496e13,1.1934452e7
3,3.929890919810027e14,1.0563496026094879e15,1.1766594891426508e15,9.54689741831453e14,8.683724723527695e14,7.928992456236102e14,7.46212199741135e14,5.59496890824611e14,3.889088072635895e14,5.447409339582075e14,4.64850363469e11,4.43849e6
4,2.466248865653707e14,6.790905922659145e14,5.808968099193678e14,6.160496069620314e14,4.7262730334232075e14,1.9419137143782725e14,1.00992573954785e13,7.83742695853625e12,2.8266183440923477e12,8.283204012915195e11,1.7429282283984375e9,2.7643942185546875e7
5,1.0111310058265445e14,2.4284494868533588e14,3.612928623878704e14,6.24970317288285e14,4.78705946073572e14,2.3179988308954e14,5.773957734049e12,2.466794075599e12,4.51358398301e11,3.8011476155e9,1.5726199e7,4.2538624125e7
6,9.27627385583473e13,1.8352771002289525e14,1.6483444066852025e14,1.52426422402024e14,6.3958935247313e13,1.7186274729219e13,8.046699353256e12,1.196597695658e12,2.2105183043402373e12,4.252212920435e12,2.7330569e7,684897.75
7,5.153059995146449e13,3.38825527942865e13,1.9337956214847e13,2.6282966993979e13,3.039383166721133e12,2.5388067733695225e12,4.0532400322047812e12,1.672942437837e12,8.229010091350305e12,3.5267589052e10,3.93035405484375e8,4.98266530625e7
8,3.758328846077337e13,1.964769928125956e13,4.21490330546275e12,1.58415375784075e12,1.48112411172e12,2.000601505992e12,6.828221354525e11,4.66626448794e11,7.5914135929e10,1.1913360185e9,1.2786597574609375e8,4.946120409375e7
9,3.448344877091893e13,8.8782127571385e12,1.0919302850728812e13,9.01763634837e11,1.4275535833627734e12,1.1240653037865e12,1.47250486453e11,1.9984025636741016e11,2.693654640809961e11,3.232580665063713e9,9.1490886125e7,1.295796e6
10,2.148731610836482e13,5.1772711496165e12,5.272233852315e11,7.90312331928e11,1.2538256763975e11,8.0941402368e10,1.52260831264e11,4.05878892609375e10,7.064721117e9,1.3434039667421875e9,8.752763102734375e7,1.378877546875e6
11,1.3902693912007651e12,5.833398999640666e12,2.278401370140875e12,4.08060959985e10,8.2355630172e10,7.178670693e10,1.07467392186e11,2.49327836915e10,3.7861454696914062e9,1.8003475082739258e8,1.1653981e7,283758.0
12,1.3122339738079985e12,1.3123622908705e12,1.3899821875840625e11,1.5440076854e10,2.3718272888e10,1.0554306913125e10,1.255363544975e10,7.41391747e9,2.940020041e9,1.6002615525e8,2.764307e6,566976.75
