iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1,14515.180953177267,14776.022431879775,9247.198062767346,22649.432149314478,22084.08189731238,22008.04078888198,24302.22982039886,4634.300000000001,19617.2,9354.099999999999,26755.15541025045
2,39757.87247333067,34103.993040707515,43168.03868298424,5895.267356724065,3004.5333999999857,2328.0015797411743,4047.551201112228,8596.647331099231,9069.613227737687,11956.252561317006,3858.03647079703
3,12041.861002136537,10947.254486108277,19101.284638658726,47404.65398481285,14383.370549422292,25249.058120775393,13441.061638414234,7480.09932318619,12744.747115405033,9287.17544544946,2138.199999999999
4,12041.861002136537,35269.50056204246,8730.100875142665,40554.449256440894,13435.227557046093,11595.572228767658,13203.945030980103,15909.432403106419,16634.50489614149,10231.351505940173,5680.657840687759
5,12041.861002136537,21041.826350165324,9360.312496152332,21153.719015812258,21374.742499542863,12956.191719198878,14336.524338625975,12952.230833477206,9136.0386036384,7505.942432522667,8119.248046345082
6,14114.976574519736,8840.162610214871,8719.46930886329,12502.264134151177,12112.936929072326,10450.197074015334,20567.145439502798,18944.756018586548,10226.053633871235,13824.621591288358,24777.325120111876
7,22165.75420568375,10185.757707087758,10241.468364023369,21643.058922492663,5330.568984382272,9059.792507141348,19213.428332630414,20191.288477647337,16907.417622914065,17678.879327268616,117.63117858783768
8,23151.70330162892,10864.774408897823,9673.947296437902,17558.1792950921,15250.810936533766,4882.137159375356,17994.61353724576,13961.94968734084,10037.268937918254,21029.29325987918,7405.087345238485
9,24290.16877018117,38522.68926389359,8356.67778516978,22649.42338956999,17759.887397670816,23333.50093426223,20816.46251473057,19331.927067741126,15220.475975293684,8092.620585938322,18994.947592715274
10,13692.70269996592,6767.891193129302,7608.000828337348,9859.259283298426,15260.877514619786,19793.12845346618,9997.201624920837,22059.97208888665,23568.615752923535,15545.256634636056,5831.58742380501
11,22455.99360795578,22861.612769198884,12719.36027112507,5078.609116004099,16782.608656051667,18042.67787111318,21551.353345506508,21647.573119574463,18340.446498403748,13101.231677423153,2079.8999999999996
12,14508.08979214749,11738.762344478917,15220.722569661517,18193.613694754058,10104.167708761797,12187.263771192536,24681.447227708482,18245.10474217856,7968.0503825305805,4468.913289572984,9098.572009492209
13,26678.974480448553,30246.662673221595,13681.957730179716,7093.35846882422,13474.847898161963,14930.38765611967,21194.295218743453,21351.078917789626,27235.12985694359,18481.765557414812,3273.0657308218692
14,17346.71003779937,16811.346747439857,7733.961693177901,17519.21514729684,15762.146962292984,13142.343255599837,13731.709640932151,20160.13853121548,15485.294972645535,5083.012477243899,2928.5
15,27557.843771344396,22259.650823873697,6230.462743008682,8136.973023448425,12056.122093881664,20616.236625378097,20849.79895584892,25230.224570118895,22614.986669434606,11070.842114258898,11317.129269565028
16,14688.22087178478,23411.533357920936,5058.967766451342,16310.0722547773,11842.644489686229,18144.15855437076,19143.387698953527,19212.373219150468,18072.14130550198,10578.182762464132,2079.8999999999996
17,24899.90035988845,26590.386957234063,8358.083504836972,7473.70376231879,17449.717031719207,27992.12972327226,19203.065103493864,21393.86411174373,14883.470078148264,12821.764280348007,1587.7772751286514
18,15774.11352772428,24169.752480533196,7256.76047926944,8652.788080226295,12184.371746167168,18144.158554370755,20851.720228415663,24554.512849939973,22170.348404645756,10203.228955808041,6855.5
19,26635.764812166966,41417.74817548922,7800.191119179423,8798.187992823381,16402.657412802735,20665.904215498933,25444.944941230864,26812.40884866927,19150.548091933757,14322.696637020912,2918.405973595193
20,25423.75379968422,10721.346938811223,9431.807731754441,20602.91758858575,2697.9963810391296,12721.765966339368,18029.459372768593,21095.459493095663,22588.988287953907,12606.557645326353,17931.792747288808
21,15042.109456763072,26372.790755580958,23596.72653528272,22470.490157481272,11336.439537118185,18972.007153693532,15523.981267246823,21045.760383467103,10016.043181172949,16000.329548055244,9525.643624049813
22,21150.92046191079,12937.983200370287,20101.708797479052,6232.161739009399,14711.500293861958,13941.8486805279,23118.71560201768,24334.24345852139,19072.596265938748,14096.385625972987,5512.46474620979
23,25542.901434480627,11683.630173469412,7253.847812038819,4490.038233410139,11826.695783278505,21296.252156629092,14087.787213783084,16163.828838529893,19240.31094684568,12315.109152959398,10322.416718144965
24,16628.11849215783,31672.021530709968,9626.71040297662,8549.22513201087,19153.42456108935,11043.708057581227,21886.464841263776,16748.014010137395,15874.020486455805,17972.73439811005,5570.693662160516
25,27639.224541270913,40565.299959923956,11104.780416840824,7558.696923308425,12053.286155659674,12675.869171181128,23751.606570738124,26051.199256603486,23997.520930596434,17527.045281244995,10767.359568803124
26,17019.8520644055,40236.71988989956,8339.834249962048,8845.253945653541,23288.13765224956,20148.29922815349,11821.261726921675,25857.11759644019,24801.653376775583,18781.064189610654,19454.574032062494
27,19336.791149288896,9106.826523429609,29568.7485109691,19387.98926403916,12084.41589204338,12675.869171181128,17869.33587118367,21548.02380308432,12949.72662995651,22080.3138282865,11406.580151350323
28,27153.64596956719,23428.306008254458,5115.88761129877,5033.742516170852,17487.663517494173,23771.806242143386,20835.125414918075,20888.516369718327,12925.707726488512,21163.57679064265,7436.286484270922
29,15168.93576060104,50588.54966384522,12512.303582935976,2798.8857924451777,10805.47374803161,19246.077092968608,23741.366154044565,28889.13220570916,22585.032328862326,23491.684531504427,3229.865633578146
30,18344.84450330379,30906.768456375597,18183.750489104284,8350.272297772832,18583.65002436029,20368.228395968465,21222.046148015528,23943.66004151239,17996.014539468553,20032.7999391044,2758.581530334189
31,25542.901434480627,20435.577065188085,7851.694615186616,1445.9498427491092,13747.947231690527,12765.941623715158,20868.83316233945,20973.674955798262,22227.675380008626,13130.578833654155,5457.01605561872
32,15042.109456763072,44866.57960197665,4001.769604086717,8586.514769604406,21007.75007686055,22329.60291896405,19371.10775034502,18225.282595354365,16648.23253936157,27701.912991980855,7735.610085089042
33,19311.59596307254,24197.121353928786,8889.760156549797,6233.490202431243,12204.852556842414,8262.165405524825,16699.272051446336,26529.23123187892,25739.881949517283,9999.157818219986,25056.53672046381
34,25542.901434480627,11272.060865531248,16665.104623138428,5851.383603643292,12950.163440964,9607.540685633872,16967.629945597877,16401.36760479717,18751.335878714468,10472.159472013644,15682.918912393327
