iteration,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward
1,3.052122189,0.932791127,0.0,0.0
2,0.022139962,0.022744556,0.0,0.0
3,0.001531244,0.029614904,0.0,0.0
4,0.001721444,0.030313127,0.0,0.0
5,0.00219407,0.032217305,0.0,0.0
6,0.002267205,0.029026561,0.0,0.0
7,0.002971849,0.036126504,0.0,0.0
8,0.001573877,0.033707484,0.0,0.0
9,0.001422868,0.038598521,0.0,0.0
10,0.002893366,0.037046898,0.0,0.0
11,0.002581682,0.043742009,0.0,0.0
12,0.002564069,0.042864533,0.0,0.0
13,0.002251435,0.039747925,0.0,0.0
14,0.003049895,0.043995357,0.0,0.0
15,0.002750996,0.040866734,0.0,0.0
16,0.002685717,0.046486043,0.0,0.0
17,0.003047109,0.039504994,0.0,0.0
18,0.002782806,0.047315572,0.0,0.0
19,0.002698286,0.049059915,0.0,0.0
20,0.002711669,0.048230712,0.0,0.0
21,0.003265799,0.037981474,0.0,0.0
22,0.002721342,0.045658692,0.0,0.0
23,0.00209915,0.039914691,0.0,0.0
24,0.002292922,0.043215356,0.0,0.0
25,0.002678024,0.048014096,0.0,0.0
26,0.001737885,0.042582493,0.0,0.0
27,0.00277476,0.048092434,0.0,0.0
28,0.00295356,0.04477952,0.0,0.0
29,0.003119901,0.047445478,0.0,0.0
30,0.00303711,0.046383096,0.0,0.0
31,0.002653058,0.049067228,0.0,0.0
32,0.00274346,0.037880403,0.0,0.0
33,0.002964088,0.07689508,0.0,0.0
34,0.001746507,0.041428442,0.0,0.0
35,0.002353186,0.037438976,0.0,0.0
36,0.00191728,0.038503849,0.0,0.0
37,0.00289807,0.045658571,0.0,0.0
38,0.001863663,0.04869553,0.0,0.0
39,0.002506993,0.046393139,0.0,0.0
40,0.002852889,0.050449418,0.0,0.0
41,0.00240755,0.047172308,0.0,0.0
42,0.00262291,0.04933679,0.0,0.0
43,0.002689096,0.046490716,0.0,0.0
44,0.002701757,0.04306631,0.0,0.0
45,0.00245572,0.050081796,0.0,0.0
46,0.003278946,0.045554483,0.0,0.0
47,0.003244245,0.044222388,0.0,0.0
48,0.002841401,0.052795951,0.0,0.0
49,0.002778334,0.053492866,0.0,0.0
50,0.003019592,0.047928315,0.0,0.0
51,0.002699852,0.054854833,0.0,0.0
52,0.002939945,0.047325142,0.0,0.0
53,0.002695627,0.053043971,0.0,0.0
54,0.001835425,0.050093779,0.0,0.0
55,0.002748519,0.046418736,0.0,0.0
56,0.003504182,0.052024508,0.0,0.0
57,0.003398553,0.051403931,0.0,0.0
58,0.003406798,0.051176493,0.0,0.0
59,0.003017098,0.05060057,0.0,0.0
60,0.001966296,0.047580909,0.0,0.0
61,0.00303083,0.049990727,0.0,0.0
62,0.003200115,0.051777319,0.0,0.0
63,0.00298582,0.053541339,0.0,0.0
64,0.002983602,0.048205345,0.0,0.0
65,0.002923427,0.056433843,0.0,0.0
66,0.00336174,0.049773645,0.0,0.0
67,0.002183032,0.052544,0.0,0.0
68,0.003542952,0.046609724,0.0,0.0
69,0.002784974,0.052586761,0.0,0.0
70,0.002675543,0.044515329,0.0,0.0
71,0.002991814,0.05470066,0.0,0.0
72,0.003246031,0.053180159,0.0,0.0
73,0.002198201,0.057374104,0.0,0.0
74,0.003383488,0.044813947,0.0,0.0
75,0.004015346,0.057498904,0.0,0.0
76,0.003776729,0.051616487,0.0,0.0
77,0.002625799,0.049333153,0.0,0.0
78,0.00241123,0.051262401,0.0,0.0
79,0.003416675,0.048016721,0.0,0.0
80,0.002315522,0.051252646,0.0,0.0
81,0.003513744,0.060314688,0.0,0.0
82,0.003422352,0.049339461,0.0,0.0
83,0.003341556,0.055374045,0.0,0.0
84,0.002098195,0.046447731,0.0,0.0
85,0.002062658,0.056250383,0.0,0.0
86,0.003080157,0.047307984,0.0,0.0
87,0.003476606,0.058342387,0.0,0.0
88,0.003082292,0.055124544,0.0,0.0
89,0.003391657,0.058711349,0.0,0.0
90,0.003543652,0.060551321,0.0,0.0
91,0.002421247,0.054269954,0.0,0.0
92,0.003709567,0.053036287,0.0,0.0
93,0.002657007,0.060261377,0.0,0.0
94,0.003719065,0.061582991,0.0,0.0
