iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.3890361225358754e7,5.160636309782031e7,4.957189055301547e7,8.312200097197664e7,8.636564956867702e7,9.227972760141197e7,8.060743668796955e7,7.086838598897208e7,4.9972112980593935e7,2.2582103848610185e7,6.357759453675313e6,280390.8383751468
2,5.3890996674080275e7,5.160638066141098e7,4.876193772240954e7,4.856914645354465e7,4.9613029581599414e7,4.6704452364154235e7,4.384497289187744e7,3.68216557897636e7,3.0398112303552024e7,2.025098824068848e7,6.737917452994798e6,362088.058299755
3,5.389111069525016e7,5.1606261934886344e7,5.095837279320578e7,4.5108884830824025e7,4.011366502292588e7,3.836108122919224e7,3.562439235327637e7,3.2468433522951134e7,2.527509520359026e7,2.2880568841927152e7,6.2057395942305345e6,410916.28016669874
4,5.3891113510418445e7,5.1606269674715534e7,4.412320326362717e7,4.4051600238336414e7,4.4412710559958294e7,4.901564060177128e7,4.392552000793396e7,3.596759003178212e7,2.79347410627765e7,2.671818180966284e7,7.0147818385834545e6,465135.3746777594
5,5.38911140478937e7,5.160626030409133e7,4.902454616369012e7,4.980550907546692e7,5.197099468679197e7,4.815916535486111e7,4.755017484895764e7,4.261375096861301e7,3.459637009269612e7,2.3652334589013074e7,6.781793398494618e6,464802.2626197805
6,5.38911140478937e7,5.160625864674042e7,5.210202821149951e7,4.660392990133182e7,4.763856230639388e7,5.0463745057682335e7,4.758818386195083e7,3.548752749041544e7,3.3783715593631186e7,2.4040621181529e7,6.446302244077978e6,315384.8023075386
7,5.38911140478937e7,5.160625864674042e7,6.161557078218369e7,5.938767400610651e7,5.493610172346771e7,5.445727338212618e7,4.691080173864581e7,4.80731835813632e7,3.517543197352366e7,2.4901282506191455e7,8.032404552224698e6,662608.5434742296
8,5.38911140478937e7,5.16146145238705e7,6.023311648310754e7,5.8047536988567695e7,6.1116036375985816e7,5.959401824969545e7,4.5998110893518955e7,4.056493917304787e7,3.189877019076799e7,2.062794680419472e7,6.59994781516647e6,232235.61223565933
9,5.38911140478937e7,5.1607414893707246e7,4.315054563776751e7,4.1202485430107266e7,4.19418806134623e7,3.83870324818096e7,3.012070778333226e7,2.3924493074470848e7,2.4797641753923282e7,1.788628464679777e7,6.848195987213786e6,310849.2990001318
10,5.38911140478937e7,5.160627327937324e7,5.195507307197826e7,4.844132027602017e7,4.7567321609802574e7,4.872976862235138e7,3.801896596148507e7,3.0548730650744274e7,2.6522593538644962e7,2.360851683624465e7,6.930997052744447e6,486045.4429412145
11,5.38911140478937e7,5.160625929638077e7,4.839857778857662e7,4.551660342903212e7,4.283772888510169e7,4.426762047481227e7,3.613903396945609e7,3.1651951059770107e7,2.6504893914815303e7,1.9595531926887736e7,7.473334039678034e6,523839.5039566957
12,5.38911140478937e7,5.160625929638077e7,5.229821342542204e7,4.7800213822750084e7,4.8181853053089246e7,5.001566128612237e7,5.04862552058205e7,5.746064881523093e7,6.2819989873386055e7,3.694425894511105e7,8.089881359497794e6,470898.62855667906
13,5.38911140478937e7,5.1606259296951264e7,4.8268836169402994e7,4.528630967510951e7,4.2889425487336054e7,4.685122170564048e7,4.134746359435174e7,3.538941885607166e7,2.987395262372551e7,2.667860334539987e7,7.756247706757467e6,662608.3651471162
14,5.38911140478937e7,5.160740329902837e7,5.189426663752618e7,5.6149737637142204e7,5.273012982123762e7,5.6969526195979714e7,5.730073329624358e7,5.123406027632281e7,5.374919853125155e7,4.242407924823962e7,8.089918231454699e6,431502.6480984421
15,5.38911140478937e7,5.1606380929845676e7,4.7067657755139224e7,4.8688787071667664e7,4.741227501774193e7,4.131660193569723e7,3.382136397359659e7,2.9034508000185736e7,2.645957968022534e7,2.1562557323886655e7,6.40014246593916e6,402510.43010891706
16,5.38911140478937e7,5.1606339696692735e7,4.815853246906293e7,4.556352676114612e7,4.703604863410507e7,4.4465465447898984e7,3.812353353169149e7,3.1876401843337744e7,2.6369769261795968e7,2.1743850928168215e7,7.399178124082821e6,516418.90120673744
17,5.38911140478937e7,5.1606259801981926e7,4.681032140964048e7,4.4029998781717345e7,4.203350570791012e7,3.841822165043308e7,3.96230729841796e7,3.297155941264397e7,2.732566593327921e7,1.6398249233866112e7,7.71546725486937e6,650340.2887133614
