iteration,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward
1,1.609506631,0.154355997,0.180983844,0.0
2,0.229409143,0.085650893,0.139315468,0.0
3,0.211148625,0.049780161,0.122208744,0.0
4,0.207723731,0.05043728,0.119150815,0.0
5,0.207505488,0.05142953,0.159186946,0.0
6,0.31637049,0.068312184,0.133728274,0.0
7,0.220299731,0.064615672,0.130999906,0.0
8,0.213930317,0.051261905,0.224296963,0.0
9,0.24879,0.048814878,0.154022576,0.0
10,0.213221018,0.089112658,0.177181784,0.0
11,0.24992912,0.051845323,0.158609249,0.0
12,0.234335167,0.047802076,0.155381312,0.0
13,0.224267015,0.050414208,0.233701564,0.0
14,0.218894121,0.066519,0.149336621,0.0
15,0.241654307,0.053404945,0.157966324,0.0
16,0.240653828,0.05509134,0.270173126,0.0
17,0.298686314,0.071023088,0.14457315,0.0
18,0.263989994,0.053322768,0.136737745,0.0
19,0.328525848,0.055035449,0.220203231,0.0
20,0.22854085,0.049369513,0.179939002,0.0
21,0.240257875,0.050799475,0.150454879,0.0
22,0.257283164,0.055655037,0.132389544,0.0
23,0.318440325,0.067683435,0.145393481,0.0
24,0.245496085,0.051847715,0.146206995,0.0
25,0.265810552,0.053917282,0.17858599,0.0
26,0.249090006,0.088546496,0.195577239,0.0
27,0.302294276,0.098110589,0.168793507,0.0
28,0.26293149,0.057170883,0.158192585,0.0
29,0.258673558,0.054421609,0.16128253,0.0
30,0.293066554,0.054843144,0.139265932,0.0
31,0.253354257,0.054797846,0.145539274,0.0
32,0.362154138,0.106075267,0.147321679,0.0
33,0.276027328,0.053986984,0.172992632,0.0
34,0.281049641,0.056078449,0.153331673,0.0
35,0.259838549,0.072086313,0.191207653,0.0
36,0.261594504,0.059078409,0.15603538,0.0
37,0.27580628,0.055603327,0.213593451,0.0
38,0.323567546,0.074406588,0.160277342,0.0
39,0.303609026,0.05306491,0.137222766,0.0
40,0.325368787,0.114595076,0.155999832,0.0
41,0.316308883,0.050566475,0.212698845,0.0
42,0.293009268,0.056532098,0.199922556,0.0
43,0.310228124,0.055413494,0.207588515,0.0
44,0.321863968,0.052077666,0.18275541,0.0
45,0.333454293,0.059946206,0.165528448,0.0
