iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,6.010036330697089e7,9.27013152251152e7,1.1304051591095214e8,2.0256693573999077e8,9.732831656616452e7,1.0125162460812074e8,8.647832090550789e7,7.432854783198422e7,5.4184061230048254e7,2.306907253596305e7,6.443773714059496e6,297590.13015276834
2,6.001442853681792e7,9.245737485390246e7,9.566235578284433e7,7.800060258047149e7,5.519195392813791e7,4.972527688918212e7,4.694959328131449e7,3.85222206821768e7,3.1438127886973426e7,2.0516379062641993e7,6.915733169126779e6,370028.7520542449
3,5.999194523724249e7,9.263013405285218e7,1.14182585417783e8,7.466241782681188e7,4.279622212024094e7,4.0606666727535546e7,3.750058078364432e7,3.439689015023735e7,2.6199687509009816e7,2.3324383366191737e7,6.299327968266336e6,414286.0902748727
4,5.9987433084085405e7,9.26667308159668e7,8.885580833612718e7,6.903111026034096e7,4.847794086391038e7,5.256052731672865e7,4.759311964706056e7,3.724068316247773e7,2.9096133571845464e7,2.7297312842354596e7,7.073478129707279e6,466227.24840403895
5,5.994588261922446e7,9.265121610790753e7,9.929808172852166e7,7.623427882996774e7,5.6493955738240704e7,5.155810919268434e7,5.068603354174909e7,4.565310449363114e7,3.641663685900446e7,2.4502694098263234e7,7.15946360657109e6,465613.0394058921
6,5.994493099135214e7,9.264825403461877e7,8.343834253054434e7,6.2761849030484766e7,5.2805874988527894e7,5.495472920137906e7,5.09954277254457e7,3.714647481679077e7,3.488740226296435e7,2.472658291518757e7,6.561026340034706e6,329185.0485429194
7,5.992394922392061e7,9.264825403461877e7,1.521398412965478e8,9.382310784623438e7,6.21968445026792e7,5.875517852895269e7,5.041392188838029e7,5.2664609541890785e7,3.6450050811383374e7,2.5784075096702024e7,8.073244352719638e6,671421.5692875333
8,5.991403995225586e7,9.264825403461877e7,1.267292510695076e8,7.845911348697484e7,8.743769848493624e7,9.716657306763864e7,5.2849247596827164e7,4.604128351377925e7,3.389287425017066e7,2.121473653825953e7,6.635523243116245e6,239474.54395654565
9,5.977514293504707e7,8.763926604924732e7,6.849701651715282e7,5.663837062904912e7,4.73714491014688e7,4.230690233112487e7,3.53796035967679e7,2.651523904454898e7,2.664525937076731e7,1.8467141828693397e7,6.978113428771452e6,319788.7734554521
10,5.97306534330965e7,8.631029007305312e7,7.30363336970006e7,6.205088766379082e7,5.217678474286923e7,5.4511850004366755e7,4.030210473414968e7,3.246012511525984e7,2.8114293084232353e7,2.477400081258369e7,6.983868126057888e6,492763.0399772254
11,5.971646627645755e7,8.628993801330362e7,7.877543947842786e7,5.376702680064857e7,4.5290763261622936e7,4.67317017535155e7,3.766072767833035e7,3.2493348614319846e7,2.705977924379684e7,1.977282782975249e7,7.5269328148417575e6,532235.5133855364
12,5.9656974318130136e7,8.628993801330362e7,7.016424224257329e7,6.4288189094058275e7,5.652263163769901e7,5.632184501070808e7,5.429270904257184e7,6.3300711052067116e7,6.958933819561222e7,4.0469088856962286e7,8.131356026730533e6,473675.67776154424
13,5.965258129736552e7,8.628993753583688e7,6.6071335441557765e7,5.701345717665942e7,4.842823339884037e7,5.061074828500283e7,4.348207959950858e7,3.7013967076398626e7,3.1441323034765474e7,2.7525653109119862e7,7.784662769736235e6,668488.9586698944
14,5.960990713537805e7,8.628993753583688e7,6.72940818090868e7,8.929748431791914e7,6.304074551289445e7,6.408580125698289e7,6.414646850840765e7,5.5981655422420666e7,6.0938240474628344e7,4.440128082922978e7,8.1152389403553335e6,435312.85845184815
15,5.958807042172401e7,8.372630874562249e7,8.110738008737306e7,5.962465328189504e7,5.287201767809209e7,4.491961837825328e7,3.56259114155426e7,2.9920497153829426e7,2.7036977879969057e7,2.1749622449883863e7,6.481710196677002e6,404241.4777059783
16,5.9472563109331e7,8.314792596335374e7,6.741541062224855e7,5.442541604819605e7,5.256064720144224e7,4.96845220918484e7,4.20244061790331e7,3.565250046763486e7,2.8410324392383963e7,2.3010098895978034e7,7.431625678519744e6,520148.3538050457
17,5.945703824376942e7,8.134790348812878e7,5.9442714995806575e7,5.2733794925935745e7,4.430361473521583e7,4.0718340961143404e7,4.222524196497376e7,3.405793107091887e7,2.7860019403841533e7,1.6610531364768934e7,7.755225028134082e6,656378.9546576418
18,5.938098386239129e7,8.134789848523183e7,6.3039094865172505e7,5.7963750683814466e7,5.334023089111054e7,5.136578669172314e7,4.060130459057787e7,3.514212382110835e7,3.2089244698448077e7,2.1480201790746182e7,7.100663901892345e6,668395.0482825424
19,5.934776851619585e7,8.134789964275847e7,5.5887480633860804e7,4.8427056274497986e7,4.127324759965484e7,4.529363797066876e7,4.386203711367035e7,4.29574100698726e7,4.244916564538045e7,2.5380377724902987e7,7.356050642079562e6,667557.7234052306
20,5.9345857080151856e7,8.134789964275847e7,9.364511804864725e7,1.0740297150598902e8,6.4338179741633564e7,6.4026770920949906e7,6.3021047529595286e7,4.946846746452384e7,4.128389165009982e7,2.965733333950762e7,8.115227424397764e6,465215.77506000886
21,5.932641314013095e7,8.134790305266765e7,9.869177021655166e7,5.4192994544243604e7,4.7506498306348756e7,4.293058654857454e7,4.417742932876836e7,3.808601102787064e7,3.8182463210811876e7,2.1177811336307958e7,6.944265739080543e6,402411.42229848413
22,5.921946303938827e7,8.134790305266765e7,7.767581933753489e7,5.7650086079082444e7,5.1411082225237936e7,4.447036362084505e7,4.176748366845469e7,4.585883943433952e7,3.340579746595546e7,2.487312366634924e7,6.993147739505949e6,423242.7718414393
23,5.9216739270099774e7,9.774722408251713e7,6.942472048208663e7,6.904368846662e7,5.61732638299834e7,4.88529443169622e7,5.362681952170843e7,4.582756837656355e7,3.585910522069927e7,2.458344418392858e7,6.787001774573801e6,222497.64504324837
24,5.921661903973073e7,1.0219531201865786e8,8.012376365832657e7,5.092270714184958e7,4.869145129511301e7,4.775058263529071e7,4.114539690931505e7,3.0788618492386818e7,2.2571684188282304e7,1.6888092888392568e7,6.590445122660529e6,236532.4803172508
25,5.920690739763741e7,9.96707324031816e7,6.029898630737254e7,6.491243547070432e7,4.846006994256635e7,4.347472819569981e7,3.9732962065794975e7,3.876637183233687e7,3.677764660289644e7,2.309263460448625e7,6.771307867981126e6,228015.8533738044
26,5.919315709699507e7,9.87768699450866e7,6.9576165250629e7,7.408803561280233e7,4.856504407131338e7,5.2939622552845955e7,3.836460311590333e7,3.0110193895713247e7,2.44835362457625e7,2.1953656652826965e7,6.487657910092479e6,220902.02533680282
27,5.91913815664511e7,9.828127922731143e7,6.578286872308472e7,5.548759673964131e7,5.269880430119689e7,4.668922774859315e7,4.032151656665619e7,3.6471728090239495e7,2.90958232307826e7,1.9520559174116075e7,6.47447046607498e6,390670.7237337002
28,5.9179188726895414e7,9.720216233676681e7,7.44474679617736e7,5.919214082803872e7,5.043589984061691e7,4.557240119834834e7,4.8784530888146594e7,4.4236269690176904e7,3.711222496865857e7,2.499813043536056e7,6.669157563568104e6,465340.48814808164
