iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.388988584247269e7,5.249659014455907e7,5.017916428729434e7,5.9196818968869194e7,5.98884018205917e7,5.86941748133512e7,4.6260373779249534e7,3.605166936693152e7,2.86411819522786e7,2.1775481392793283e7,5.890815746213417e6,235775.1369649932
2,5.388988584247269e7,5.247398230406095e7,4.9768826778553516e7,4.529215593272912e7,4.35844734618132e7,3.767774315661132e7,3.368392457342656e7,2.637898058346615e7,2.057689494381746e7,1.4719397861962058e7,5.095083295315519e6,321621.3417250115
3,5.388988584247269e7,5.252745604850212e7,5.257022168106475e7,4.539566206752275e7,4.074338791472921e7,3.773671733872944e7,3.099940925328216e7,2.7516277745700374e7,2.019344742834634e7,1.75016430834797e7,4.395143332709744e6,360790.6112658852
4,5.388988584247269e7,5.251679598941316e7,4.299739563180064e7,4.29441537914963e7,3.991548483319618e7,4.1630958025145724e7,3.858874081207326e7,3.159377841456022e7,2.3378795598408997e7,2.1092486768008776e7,6.584119188220006e6,465122.2152142252
5,5.388988584247269e7,5.2530811299281836e7,4.823749385128103e7,4.975592947460459e7,5.065048017967926e7,4.411724464861454e7,4.1821959411956206e7,3.72312341289029e7,3.041797434242464e7,2.252029520293175e7,6.384368088129231e6,464506.7162294251
6,5.388988584247269e7,5.255329670141943e7,5.45206088663709e7,4.916568296791134e7,4.873772690963842e7,4.909629874142273e7,4.488274510525665e7,3.2843045648540787e7,2.9988127416138936e7,2.284772049120787e7,6.051015494802495e6,291358.2776117554
7,5.388988584247269e7,5.2553064378811985e7,6.0174658745899364e7,6.2342792984235376e7,6.191170574444553e7,5.4899760438428804e7,4.228896890719098e7,4.153809250387321e7,3.0482741181750856e7,2.3596245500378497e7,7.634523385870271e6,662608.3096619308
8,5.388988584247269e7,5.2542131547829874e7,6.058018529102802e7,6.052586427231786e7,6.136729821556501e7,6.04346116536773e7,4.3210709407425046e7,3.6981399320780665e7,2.662693706083992e7,1.658368606583612e7,6.409134331660554e6,222638.3927620456
9,5.388988584247269e7,5.242760296695997e7,4.282071317170469e7,4.043228519432311e7,4.148230456884178e7,3.621879889363089e7,2.79600079536234e7,2.1866774549267307e7,2.1808902660610273e7,1.6967355988102295e7,6.644700266115802e6,301116.00845453405
10,5.388988584247269e7,5.253273608478345e7,5.348824263964578e7,5.141164519403759e7,4.847664890294078e7,4.712056984763515e7,3.587426260785784e7,2.7537313810180724e7,2.327711573263086e7,2.050112222605303e7,6.883678623629356e6,476033.22038660926
11,5.388988584247269e7,5.253273608478345e7,4.961705321456273e7,4.5679459602922454e7,4.168454808057527e7,4.158723064740154e7,3.711972381887051e7,2.9915246297479786e7,2.5431133869350404e7,1.880197672977867e7,6.713558868175181e6,509002.83092495415
12,5.388988584247269e7,5.253273608478345e7,5.457474379085702e7,5.0749528792995885e7,5.182641697073498e7,5.015364985470769e7,4.493341662138276e7,4.641714636467467e7,4.5696843157582745e7,3.117323448101448e7,7.5601100811485145e6,374333.3555827545
13,5.388988584247269e7,5.253273608478345e7,4.77224039961405e7,4.77360710122084e7,4.4386785596171975e7,4.4130215287447855e7,3.668074604093501e7,2.7695028667222515e7,2.261001289640604e7,2.0066227093890928e7,7.2826973592073005e6,662608.8581379608
14,5.388988584247269e7,5.234261395318871e7,5.316088636881874e7,5.7756078610511385e7,5.630445288275981e7,5.853990799110797e7,5.303225150996113e7,4.610577555472197e7,4.3771768152045645e7,3.278935709667144e7,8.0882929931742875e6,431212.04238588724
15,5.388988584247269e7,5.207030188096981e7,4.658934752831805e7,4.62867241311442e7,4.397696567604546e7,3.7290758247765034e7,2.864401334983875e7,2.2209308030077174e7,1.9219132007307008e7,1.5399836061033946e7,5.832856962722725e6,401136.909330691
16,5.388988584247269e7,5.262796731790745e7,4.977634900034895e7,4.940350074491473e7,4.9745505704016834e7,4.5967826978060886e7,3.622306257168998e7,3.0426530489572003e7,2.4197975607089795e7,1.987177692219487e7,6.974369657707968e6,509392.71677403676
17,5.388988584247269e7,5.2138627178626426e7,4.617338810940739e7,4.248745617652797e7,3.955609520262985e7,3.5309529379674286e7,3.408585497541362e7,2.7800982679015934e7,2.3160807083956614e7,1.6530621098786261e7,7.097511277405286e6,592653.9612410177
18,5.388988584247269e7,5.214162085684447e7,4.6064650744064845e7,4.629266847376643e7,4.474453263879262e7,4.049732238575524e7,3.0642431750708207e7,2.5369270623547927e7,2.0971405044416785e7,1.6965096226619516e7,6.881363906580342e6,653946.827439818
19,5.388988584247269e7,5.214003265157321e7,4.254426973122901e7,4.031706063070037e7,3.796348727301079e7,4.093896567058721e7,3.6638986302485906e7,3.558543530191907e7,3.337068756967258e7,2.28967895776321e7,6.864949266736492e6,511271.17242887954
20,5.388988584247269e7,5.213968795714101e7,5.299790006898151e7,5.749940539998504e7,5.054584958484878e7,4.7526665916006416e7,4.567601097826494e7,3.706017268841715e7,3.033510811705215e7,2.5224788869055815e7,8.0888240134001495e6,464507.23808338697
21,5.388988584247269e7,5.214100676852406e7,4.917721828998758e7,4.2959767067273036e7,4.464271172282371e7,3.875800463521777e7,3.900883011129689e7,3.008510660921947e7,2.894183750433907e7,1.6999554135757633e7,6.589928074488262e6,401150.47499118437
22,5.388988584247269e7,5.2167583179533415e7,5.1645991271429464e7,4.682785543670612e7,4.4432764051494e7,3.9233117074222535e7,3.5572944349888265e7,3.4767059041601636e7,2.6710880142392218e7,2.157609313479505e7,6.51237148347988e6,402352.2662729999
23,5.388988584247269e7,5.21412910120555e7,5.281444881499407e7,5.1552026490065195e7,4.7139785576407164e7,4.022703558158696e7,4.212128837698151e7,3.633684214854415e7,3.0141923783470966e7,2.2796566279121827e7,6.3429834110292075e6,220901.04271498043
24,5.388988584247269e7,5.21412910120555e7,4.779929435216426e7,4.5141535235174954e7,4.299316228814167e7,3.873569874954453e7,3.3025287544995442e7,2.4447730772441372e7,2.132474688686174e7,1.6488140418495253e7,6.102147881033076e6,220901.08688382004
