iteration,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward
1,2.469421689,0.728187983,0.217713086,0.0
2,0.267264258,0.054922668,0.162277946,0.0
3,0.200623353,0.049107489,0.141128295,0.0
4,0.187511427,0.051880711,0.156437774,0.0
5,0.208968419,0.054906049,0.215369366,0.0
6,0.207794628,0.050928465,0.196631171,0.0
7,0.1874195,0.050304418,0.198989073,0.0
8,0.204676925,0.067171624,0.294849783,0.0
9,0.240385861,0.051022275,0.154673898,0.0
10,0.213623101,0.047745235,0.216915741,0.0
11,0.246745406,0.050917811,0.192196719,0.0
12,0.216722254,0.047753165,0.171399713,0.0
13,0.237205992,0.052691823,0.249843235,0.0
14,0.252303092,0.051594031,0.186610714,0.0
15,0.228927558,0.05104088,0.244659012,0.0
16,0.246916894,0.051651846,0.216956154,0.0
17,0.251962727,0.052524608,0.159830268,0.0
18,0.254292898,0.055816185,0.190602354,0.0
19,0.265930417,0.052740388,0.23557096,0.0
20,0.268264161,0.055040125,0.309338042,0.0
21,0.268056506,0.044673015,0.150843395,0.0
22,0.321519489,0.05773919,0.14859421,0.0
23,0.267439764,0.057504229,0.163781805,0.0
24,0.323017049,0.048789832,0.167934181,0.0
25,0.263315937,0.055295858,0.186255788,0.0
26,0.286676693,0.05416461,0.193355462,0.0
27,0.263373346,0.056500462,0.164474715,0.0
28,0.352942129,0.063029083,0.172674918,0.0
29,0.220524866,0.05448077,0.164710607,0.0
30,0.285146279,0.057377448,0.150795226,0.0
31,0.254961347,0.054146967,0.264642621,0.0
32,0.260901324,0.045298502,0.142500334,0.0
33,0.229270545,0.049175274,0.246991016,0.0
34,0.303314714,0.052389655,0.167948574,0.0
35,0.239969707,0.065696289,0.222299119,0.0
36,0.290034968,0.060827963,0.171468003,0.0
37,0.243636762,0.053972882,0.316762795,0.0
38,0.314746627,0.063272375,0.200011839,0.0
39,0.261576747,0.049226748,0.229484091,0.0
40,0.29940284,0.067825367,0.155089364,0.0
41,0.281587288,0.050710496,0.176904373,0.0
42,0.332244861,0.063969844,0.2367466,0.0
43,0.339465631,0.061486487,0.23407406,0.0
