iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,6.010036330697089e7,7.255715907024449e7,7.628038862985736e7,1.0522910586164334e8,6.630546533189604e7,6.22686603254825e7,4.835086517643033e7,3.727347015961426e7,2.9150659154687215e7,2.1992455882134374e7,6.003690009156729e6,242676.95517072943
2,6.001442853681792e7,7.230282001656425e7,7.647159157374534e7,6.483336591647923e7,4.665567074334571e7,4.004576230810018e7,3.533286505076112e7,2.7561385087106228e7,2.1283761738490492e7,1.5897063195661217e7,5.314083479017922e6,336805.2318451742
3,5.999194523724249e7,7.275187917400971e7,8.540650737192434e7,6.555134074248272e7,4.602989139402452e7,4.1132051302803785e7,3.395876616370544e7,2.9301076579139963e7,2.1340391148850203e7,1.7883646734339688e7,4.517539355477053e6,363956.219742805
4,5.9987433084085405e7,7.267905186865133e7,5.8536684790854186e7,5.504324825607562e7,4.307870179027377e7,4.375369578766541e7,4.0722899862914085e7,3.2671913343425058e7,2.405456972111928e7,2.165845984646005e7,6.647833433674571e6,466217.4795626165
5,5.994588261922446e7,7.279603663483387e7,6.3919960236765206e7,6.886293651279509e7,5.5365064837025285e7,4.727892294253877e7,4.363537880405913e7,3.841628475911982e7,3.1056561265509464e7,2.2750152452003263e7,6.443665567653421e6,464659.3465067472
6,5.994493099135214e7,7.300391857594052e7,8.633995104852664e7,6.1389098341375366e7,5.619078262906116e7,5.581985843648857e7,4.8631003188246876e7,3.409254087981187e7,3.070408935772951e7,2.316204837709585e7,6.234301263132693e6,303689.7103236818
7,5.992394922392061e7,7.299233143260962e7,1.0726879479234019e8,1.062881558906011e8,7.6015734288441e7,6.0043427013198614e7,4.482916431536837e7,4.375178108902071e7,3.1342608492019795e7,2.395117018373197e7,7.65350602740316e6,671421.3371198039
8,5.991403995225586e7,7.289232448234206e7,1.0823390232184398e8,9.064204710777396e7,8.931603420924199e7,1.0060960749360889e8,5.063823409612548e7,4.264955264803417e7,2.774428711874959e7,1.7329715843219988e7,6.446284130687088e6,223879.32908593232
9,5.977514293504707e7,7.166074230910555e7,5.00130130941086e7,5.033651836061397e7,4.601354323575947e7,3.921284673218563e7,3.0925203013943315e7,2.346007464879577e7,2.3052361507670656e7,1.7226726540853303e7,6.672323932495751e6,301209.2500182324
10,5.97306534330965e7,7.289628548577094e7,8.093299798513687e7,6.513710913118613e7,5.31826751220811e7,5.1648524027787134e7,3.7967041939460725e7,2.9363010753255658e7,2.4182410497337062e7,2.0934662839623086e7,6.934045051387144e6,477163.121269575
11,5.971646627645755e7,7.289628548577094e7,6.9191695026901e7,5.5094832528053254e7,4.473313914909625e7,4.386873641459055e7,3.9003766186373174e7,3.075352776991193e7,2.5985907217023753e7,1.905828930134196e7,6.771073083083111e6,510804.25686375424
12,5.9656974318130136e7,7.289628548577094e7,8.262044611666805e7,6.788756940066744e7,6.565081913110593e7,6.0246232094501495e7,4.9862827161292836e7,5.223273596696222e7,4.9804345328326166e7,3.33730787922309e7,7.679124465711457e6,386131.4938146205
13,5.965258129736552e7,7.289628548577094e7,5.329220071652186e7,6.236726421590388e7,4.7930284822834134e7,4.651695293668589e7,3.821169483757174e7,2.88014970364884e7,2.338824086071618e7,2.0825981635644004e7,7.30722039137006e6,668489.4193389956
14,5.960990713537805e7,7.129613453833842e7,6.966845681306127e7,9.532329903699827e7,7.019966329205686e7,6.654908905801147e7,5.816047550070894e7,5.013019326696971e7,4.5757658322462685e7,3.3972452502021186e7,8.113828656457504e6,434941.86414742324
15,5.958807042172401e7,6.792697139634603e7,5.438479901016581e7,5.230459008341776e7,4.7266732283506796e7,3.9515245616533786e7,3.0429408741426103e7,2.3228391556792654e7,2.0100264614433806e7,1.5606718018907502e7,6.0253111454496505e6,402047.11142902105
16,5.9472563109331e7,7.3845182730142e7,5.813988318572497e7,6.182689741672808e7,5.480162188259803e7,5.091810973429993e7,3.912395371593064e7,3.238119326390849e7,2.500246207767971e7,2.0612131696134087e7,7.012992552187433e6,510917.5223282369
17,5.945703824376942e7,6.879031577157226e7,6.193514865477668e7,5.008360002991825e7,4.2608650354431994e7,3.752712330968577e7,3.561937092760447e7,2.8761283338871747e7,2.369642713174143e7,1.7385959148437478e7,7.136955072297162e6,604011.1908561289
18,5.938098386239129e7,6.883213239758542e7,5.808323174854015e7,5.343380774863532e7,4.762860701177427e7,4.335093003727153e7,3.2037281972353205e7,2.6363529295449644e7,2.1577286962961584e7,1.7224639916193344e7,6.966595334516179e6,659803.0471796162
19,5.934776851619585e7,6.88383859959462e7,5.479817677189612e7,4.7013104151234835e7,4.054610862234703e7,4.3467374753419146e7,3.8445004143753976e7,3.704592178564434e7,3.455489440093441e7,2.3237179294755343e7,6.994097310129809e6,523332.12467769237
20,5.9345857080151856e7,6.883508201537365e7,6.616911009673597e7,8.245774697327906e7,5.88685737641449e7,5.176647535523027e7,4.895672491106506e7,3.8569154211296946e7,3.162185051337623e7,2.6342544553595237e7,8.114354926420484e6,464599.3993435298
21,5.932641314013095e7,6.883212284665474e7,7.800903554684684e7,4.793334085464508e7,5.0540842468675e7,4.366826974240087e7,4.3796400934545726e7,3.2522665864278942e7,3.1224198571153045e7,1.749260892153439e7,6.620130406317441e6,401835.1968176648
22,5.921946303938827e7,6.907801678974915e7,6.225227859087229e7,5.6372810527996644e7,4.839961316549921e7,4.170326459293987e7,3.6783064407765985e7,3.581893538587767e7,2.7209149244990204e7,2.180850536566054e7,6.566738899308717e6,403967.6197580256
23,5.9216739270099774e7,6.879355274840373e7,6.563551620396048e7,6.300999404068357e7,5.1267499224047095e7,4.288012860115707e7,4.4365854455099255e7,3.756948411168806e7,3.0778719689866807e7,2.300651124333003e7,6.3885777425313825e6,220901.34880506623
24,5.921661903973073e7,6.879355274840373e7,6.121641227255766e7,5.444191758555785e7,4.642515006923908e7,4.18798324501034e7,3.427947795097208e7,2.5989334376613796e7,2.1959084683626167e7,1.6730464500008922e7,6.17315645303326e6,220901.34572559365
25,5.920690739763741e7,6.879537704266226e7,4.7393151255734205e7,5.1449613491535425e7,4.450702164450306e7,3.83015949150109e7,3.303433746771811e7,3.1198005258141212e7,2.708670082948552e7,1.8821964631106872e7,6.486309507694774e6,220901.6530270531
26,5.919315709699507e7,7.374092096436101e7,4.910242243542993e7,5.149411815112147e7,4.523874618478051e7,4.418392013454661e7,3.461978009091865e7,2.7517493850518897e7,2.152785304959487e7,1.894473858929041e7,6.254498247903564e6,220902.06279312228
27,5.91913815664511e7,6.855548869248325e7,7.016327709368792e7,4.810872830867053e7,4.827092676104207e7,4.196887870297694e7,3.632799278868972e7,2.9972896774370737e7,2.234565833997586e7,1.5932996719876172e7,6.172352753641425e6,311342.65783388505
28,5.9179188726895414e7,6.847139054117799e7,5.549964761713025e7,5.051549694731918e7,4.545932525610576e7,3.9142411982011765e7,3.837417584467152e7,2.9270554690684438e7,2.3031260500880286e7,1.761581715066678e7,6.346227483331539e6,464534.4190756845
29,5.91779336700934e7,6.848626847221357e7,4.690437944217897e7,4.2894616536803514e7,3.973872262244132e7,3.723405994603902e7,2.6563879379997127e7,2.308089234221401e7,1.885279913657587e7,1.2575752381133426e7,6.655018726121386e6,405886.020731946
30,5.914248814792536e7,6.885160347201395e7,5.707392400675762e7,4.507857466543247e7,4.180862179414074e7,3.7944833895413905e7,3.1896971296114616e7,2.6254796454036668e7,2.2037491732293755e7,1.6387219465346431e7,6.884901804343051e6,397042.8622012787
31,5.911325467466209e7,6.887472120433405e7,5.4195235288279586e7,5.130802543698296e7,4.458915200463258e7,3.816255522968535e7,3.517716053520402e7,2.8247721770889565e7,2.2164713192202963e7,1.997243037355382e7,5.656830641805464e6,565761.8672659248
32,5.908528970116331e7,6.882635392976531e7,5.216906440732035e7,4.523842803346248e7,4.130423917543316e7,4.165350141346243e7,3.919817290321754e7,3.003637259962651e7,2.3539470867637146e7,1.8714042782447852e7,6.0187441745905075e6,310375.10413627734
