iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.4079259265662774e7,5.290414192481787e7,5.087297878615709e7,4.793051454528048e7,4.978359112548913e7,5.076543712773208e7,4.048322145008993e7,3.1745951448580652e7,2.3704602637413517e7,1.4948957762465741e7,3.4408321407606862e6,235049.57176651811
2,5.4079259265662774e7,5.280775759557454e7,5.137311503803339e7,4.3307387578839235e7,4.568559137670684e7,4.134575732745142e7,3.7712555774985954e7,3.3808411947060704e7,2.6827514727523252e7,1.775256499279702e7,5.552077515458131e6,401360.16775594046
3,5.407925926566277e7,5.280775759557456e7,5.289284372800392e7,4.542469801429732e7,4.3466819366327524e7,4.110269332337448e7,3.854788426787801e7,3.519009327180593e7,2.516090062703156e7,2.4343606159699325e7,6.491169416651375e6,401155.531610831
4,5.4079259265662774e7,5.280775759557456e7,4.314087408174842e7,4.3854997888113715e7,4.256619172994226e7,4.514931555102375e7,3.928448312959747e7,3.2636338208638966e7,2.324868172957874e7,2.1786073460224144e7,6.596609156017574e6,465287.84856240527
5,5.4079259265662774e7,5.280773191863482e7,4.840678438426524e7,4.903265606073123e7,4.8271117458369076e7,4.531616799480882e7,4.556708061706719e7,4.517373394520624e7,4.036425132610048e7,2.360782747147914e7,6.665829186178278e6,465025.1138688192
6,5.4079259265662774e7,5.280772963685754e7,5.4764476099092685e7,4.835166923343644e7,4.958878449424675e7,5.428177073569971e7,5.7971169252996445e7,5.265230822930054e7,5.6475233027619846e7,2.5899351338387925e7,6.465075880720312e6,276843.37482190493
7,5.407925926566277e7,5.280355485264118e7,6.400208889670431e7,6.733425287737428e7,6.205399958915883e7,5.45947343967745e7,4.433549859087217e7,5.285762074217561e7,3.888523116840188e7,3.774777286216564e7,8.089800348447971e6,662609.7988013227
8,5.4079259265662774e7,5.280322456107047e7,6.2973091653886355e7,6.4257152585189395e7,6.981752299554276e7,7.095941392383629e7,5.4035304988322556e7,4.838989037301859e7,3.3191317193521358e7,1.8670391062788434e7,6.73564799206193e6,224799.5135940642
9,5.4079259265662774e7,5.2802458715127796e7,4.2846280126122706e7,4.005337711995281e7,4.178319153656775e7,3.836558478568165e7,3.1211035104447156e7,2.192788152912149e7,2.197335983622606e7,1.4509458597559413e7,6.7383993455731515e6,292880.9107671858
10,5.4079259265662774e7,5.280136341763122e7,5.375595051403846e7,5.245249860602392e7,5.037156927469069e7,5.055645619682947e7,3.869556368271583e7,2.8987268219982937e7,2.4538587180992864e7,2.053225382985068e7,6.9262644917102745e6,486035.23683367256
11,5.407925926566277e7,5.28036399789958e7,4.994224009740196e7,4.611926531216775e7,4.2988962922856644e7,4.413367553798249e7,3.809778183950046e7,3.08660574809459e7,2.4745726098713227e7,1.7120601087162126e7,6.647862244372836e6,509396.30686651316
12,5.4079259265662774e7,5.2798402823201984e7,5.515379313172283e7,5.257053398256022e7,5.75609321333157e7,5.913675521188159e7,5.8303805626200736e7,6.2991803460344225e7,6.660877746286321e7,4.509097858215839e7,8.09000050675389e6,470950.33948572224
13,5.4079259265662774e7,5.279728566037999e7,4.7844305988461025e7,4.792877354725344e7,4.605788181571913e7,4.9241576361714244e7,4.266053791455427e7,3.399579796349834e7,2.8204120166378684e7,2.56255684564163e7,7.70373622481181e6,662609.7988013227
14,5.4079259265662774e7,5.279690505923141e7,5.356051186556339e7,6.0015626956574045e7,5.805591617026314e7,6.106225084178066e7,5.790895224071428e7,5.1328594299094796e7,5.820471508810207e7,5.646098073099845e7,8.09000050675389e6,431309.4806501763
15,5.407925926566277e7,5.279690505923141e7,4.6569468828383766e7,4.738583931963992e7,4.571934136752331e7,3.9296503067666814e7,3.137561845982027e7,2.312628606813378e7,2.109862121816834e7,1.6376081993570007e7,5.991989903749772e6,401150.75217929395
16,5.4079259265662774e7,5.279826525438072e7,4.985890217980828e7,4.965038541229036e7,5.045165551575284e7,4.744765359142795e7,3.915231094277975e7,3.2776921505167678e7,2.8595345876590207e7,2.269286734425842e7,6.882507312794503e6,509517.2060977421
17,5.4079259265662774e7,5.279690506347151e7,4.6672650811244875e7,4.3066280646159984e7,4.099347711416027e7,3.725385257779199e7,3.428532484562838e7,2.805175391057986e7,2.3142928459395442e7,1.5204589513981935e7,7.082261454237168e6,556116.3580612873
18,5.4079259265662774e7,5.2794827974107206e7,4.666724444416185e7,4.744744180802481e7,4.700484108332424e7,4.3958986679534644e7,3.582509244500202e7,2.679762727952403e7,2.2611762411944017e7,1.3178855012421696e7,6.750796264963937e6,515019.064521544
19,5.407925926566277e7,5.2794213906984225e7,4.304610776800035e7,4.0420528774853066e7,3.8990795477022216e7,4.3235564321895406e7,3.7839964215094045e7,3.7377111133566216e7,3.699338435630247e7,2.4164263685069673e7,6.913680799015412e6,467305.6291921714
20,5.4079259265662774e7,5.279390345095749e7,5.354288318415668e7,6.122815254253287e7,5.8738312130285904e7,5.3681302116338044e7,4.8483487627810046e7,4.092217728108722e7,3.1477486333597466e7,2.987295153094253e7,8.09000050675389e6,464921.7525760968
21,5.4079259265662774e7,5.279302559152363e7,5.066182415585031e7,4.419867129366092e7,4.82592603277154e7,4.52404925562655e7,4.615299895921072e7,3.630947716906759e7,3.824134450590485e7,2.106543297628258e7,6.785692679899555e6,401150.7690171009
22,5.4079259265662774e7,5.279179124045986e7,5.235865529437318e7,4.784778933866836e7,4.570166916911408e7,4.224273865369204e7,3.883388101616578e7,3.953955021798113e7,2.985098598170715e7,2.3347696048785027e7,6.686592417791942e6,406189.1536614354
23,5.407925926566277e7,5.279160032127459e7,5.35363669412951e7,5.3385448968348816e7,4.948802397357841e7,4.228090371433666e7,4.240387525721763e7,3.7260468101615645e7,2.969385312455399e7,2.1249541687025048e7,6.444591767333695e6,221403.17444252808
24,5.4079259265662774e7,5.2790581738999024e7,4.883433729747534e7,4.676563640603765e7,4.460439966207765e7,4.1063149670853525e7,3.597998748661314e7,2.722453478250201e7,1.9974060704675548e7,1.519434106882971e7,6.3129822737941705e6,241182.3904193701
25,5.4079259265662774e7,5.279006666477762e7,4.294706068393986e7,4.5834233109094135e7,4.4321939782710195e7,3.873426668088603e7,3.6297445828442276e7,3.463095952101806e7,3.1101454230174996e7,2.194719811909087e7,6.565779902845399e6,222169.0205404409
26,5.4079259265662774e7,5.279006474234523e7,4.292080107064214e7,4.5420937159052305e7,4.403252897690323e7,4.388838824794009e7,3.6668042042830944e7,2.9041888549022034e7,2.3758763746909704e7,2.146986015165452e7,6.205436164150277e6,221414.8215579775
27,5.407925926566277e7,5.278984869067443e7,5.395255452345059e7,4.532596759750035e7,4.6277831557307616e7,4.110832512295489e7,3.8134321050137e7,3.1915065735429958e7,2.4305617612278715e7,1.6452530724456483e7,6.06771348055217e6,256832.22878542278
28,5.4079259265662774e7,5.278661028756733e7,4.6640182595324464e7,4.710062662356663e7,4.409223621737839e7,3.871319349910125e7,3.900727047501269e7,2.983813552065339e7,2.4574591164362423e7,1.6184489694668014e7,6.569218988124591e6,464921.90608139464
29,5.4079259265662774e7,5.278658820376687e7,4.2921280158786714e7,3.9967548714187756e7,3.774835884305156e7,3.8536295087486774e7,3.189234331693706e7,2.874243194494065e7,2.1072955676425174e7,1.388158279010262e7,6.690610567378809e6,417830.26493427064
30,5.4079259265662774e7,5.278585451399653e7,4.781979289381764e7,4.1801768002457224e7,4.082223875320944e7,3.8417295994223565e7,3.451050995917946e7,2.5994119022575945e7,2.1363584878021628e7,1.735229565061198e7,6.975852195111751e6,371430.43567587965
31,5.407925926566277e7,5.2785600415876195e7,4.778990941643559e7,4.688004724311486e7,4.262817558758375e7,3.7318369667531e7,3.845114249707653e7,3.2606963311821975e7,2.466056542049593e7,2.300419189971254e7,6.152111235203678e6,568028.1248065047
32,5.4079259265662774e7,5.2785164263026044e7,4.2885962074691996e7,4.2542613755196206e7,3.957208129366428e7,4.11091440765e7,4.000022692520622e7,3.1671828385548472e7,2.310127122018435e7,1.8781758221123863e7,6.192242137423153e6,273745.31519889843
33,5.4079259265662774e7,5.278637824273911e7,5.006075865102358e7,5.024338080593328e7,4.851128956866218e7,4.747734156089097e7,4.234998411776115e7,3.745777716342655e7,3.413511292579207e7,2.419606848142448e7,6.834558820763174e6,252050.34273106075
34,5.4079259265662774e7,5.278470077159907e7,6.266779013338867e7,5.7141799493693635e7,5.241262443628128e7,4.6132605955521494e7,3.8674863712175414e7,2.758515099159866e7,2.1073094841738835e7,1.5500604775749817e7,6.194876180952916e6,401150.7690171009
35,5.407925926566277e7,5.278459762281692e7,5.957278501457297e7,6.196320459393998e7,5.491664436219084e7,5.2086966117247626e7,4.6677752900039166e7,3.901468065237504e7,2.4842000059939153e7,1.5966811889880933e7,7.073088090299101e6,295089.1825345813
36,5.4079259265662774e7,5.278341980290244e7,5.355641701859929e7,5.916504355431941e7,5.350848039545801e7,4.818465509123695e7,3.6733984998769745e7,3.2090974288862243e7,2.4991031057220653e7,1.502617659977933e7,7.035336510884026e6,401153.1252725343
37,5.4079259265662774e7,5.278687231135307e7,4.8298828058330305e7,4.76278564180515e7,4.795662711749481e7,4.127333421161118e7,3.534209155507186e7,3.0143694544967294e7,2.234900439457062e7,1.5548758375933789e7,5.059377017812299e6,541292.1297590518
38,5.4079259265662774e7,5.278318046199974e7,5.146518275443969e7,4.82265332461982e7,4.886837186256915e7,4.5778537096205875e7,3.761511183093022e7,3.29868205040541e7,2.727577437463419e7,1.7630986746186525e7,6.977719471221118e6,332024.95376105164
39,5.407925926566277e7,5.278275053087317e7,4.2896879316345796e7,4.14690492323529e7,4.3598484354688525e7,4.070113816896638e7,4.0872569586733535e7,4.0090407705128096e7,3.3122465221202858e7,2.1742104669096187e7,6.168863374702629e6,401150.7702609298
40,5.4079259265662774e7,5.278275053087317e7,4.663639823777608e7,4.58311891776872e7,4.756799247953907e7,4.463132715977278e7,4.541115337765694e7,3.653763159535806e7,3.685269582117885e7,2.2931985804827884e7,6.805857804770132e6,376805.4177043519
41,5.4079259265662774e7,5.2782664630694866e7,6.245794853562791e7,5.835230881404644e7,5.616915574375269e7,5.243916494151841e7,5.084549915249857e7,4.574958857541657e7,3.0750030521216214e7,2.347262354390111e7,6.468250289891364e6,521938.9631508759
42,5.4079259265662774e7,5.278195896991709e7,4.2950467362117074e7,4.551248380357826e7,4.726254726002252e7,4.223082914851871e7,3.3062531590274543e7,3.0893823086545452e7,3.328666748100628e7,3.4281455872387156e7,7.707994210323503e6,401150.7690171009
43,5.407925926566277e7,5.278069499666929e7,5.36446154780253e7,6.0988045098650366e7,5.315006658714339e7,5.266104151065418e7,4.502277443007563e7,4.458690193293077e7,4.3011591732278466e7,1.8900185832467828e7,6.054472222216144e6,368936.62135630415
44,5.4079259265662774e7,5.2780692288534135e7,4.7796514662920296e7,4.840261313364112e7,5.0954892921209574e7,4.6320258508752465e7,3.501008295069647e7,2.9116058572882473e7,2.5075720465644088e7,1.6456454223326892e7,4.504923537249957e6,256473.67542873748
45,5.4079259265662774e7,5.277896793659463e7,4.778292050242969e7,4.420422273060577e7,4.2737463515816495e7,3.713509096672559e7,3.3464308011039093e7,3.1256902761808142e7,2.4033068842843965e7,1.8296439058554564e7,6.935299136770575e6,516512.61622901756
46,5.4079259265662774e7,5.277896793659463e7,6.252576588497072e7,6.334432808037523e7,6.0949553087946445e7,5.319203521927297e7,4.44645999356702e7,3.1496974023219094e7,2.227174359477766e7,1.6519426599675901e7,5.877464918209987e6,401150.93090864405
47,5.407925926566277e7,5.2777540831689656e7,5.420289802367303e7,5.2390929088728e7,4.964842903251511e7,4.7488236614638135e7,4.2937663603435636e7,3.3375872667709023e7,2.257507156624423e7,1.6024592319094332e7,6.369859465188256e6,221414.82151091346
48,5.4079259265662774e7,5.277752425174625e7,5.23731406732704e7,5.529295159763787e7,5.37715566449651e7,4.630079922951797e7,4.238259056810725e7,4.208976338211325e7,3.943626249342136e7,3.886461772210985e7,7.272324565270957e6,401151.32189003774
49,5.4079259265662774e7,5.277588827861965e7,5.1421905297732316e7,5.62838137855814e7,5.7541606587596e7,5.597810819177851e7,5.706127148756528e7,5.260265913250488e7,4.1570005717885986e7,3.485254627609287e7,6.9289451727480525e6,388193.5144215113
50,5.4079259265662774e7,5.277577701642181e7,5.237129643295038e7,5.7547508183637515e7,5.033214948166226e7,5.469802563384578e7,5.5227412269738436e7,4.287301632431759e7,3.424103385672441e7,2.1899367829396743e7,7.8533778467618935e6,662609.7988013227
51,5.407925926566277e7,5.2773812832867876e7,6.0715268550026074e7,5.48486993313008e7,5.148733312389794e7,4.528219535636617e7,4.611851428366953e7,3.960400872954722e7,3.91250329367633e7,2.625063262984755e7,7.691773897969738e6,557885.2414760515
52,5.4079259265662774e7,5.277222719947033e7,5.9498557174884215e7,5.900378427177604e7,5.638638020707998e7,4.86812517761901e7,5.256109735427326e7,4.5564956526226535e7,4.6536222119190425e7,2.9699021856734484e7,7.0170728820073735e6,404060.1940324578
53,5.4079259265662774e7,5.277205016138085e7,6.063789855639956e7,4.8303428205734685e7,5.041142522173986e7,4.535113124970099e7,4.6039879339717805e7,3.975969766285081e7,3.85739244193376e7,3.155430027248577e7,6.945811500843956e6,401150.7690171009
54,5.4079259265662774e7,5.2771647713450596e7,4.774734275754509e7,4.173730482742931e7,3.952478709747204e7,3.4661925839326486e7,2.8079594000855416e7,2.545355989945148e7,1.9710985666446574e7,1.8327101458477717e7,6.379794903088651e6,464921.90608139464
55,5.407925926566277e7,5.277157639324509e7,4.703165659049314e7,4.4022309801679656e7,4.326479153835377e7,4.2418132459786564e7,3.127331821554227e7,2.482044911514891e7,1.7084505551793963e7,1.782384054307411e7,6.396032534875726e6,270581.94193940563
56,5.4079259265662774e7,5.277025427110891e7,5.135154712655514e7,4.650164042589814e7,4.5849767153666556e7,4.5149289489924446e7,4.444108495282957e7,3.2263720393408403e7,2.6869976892729282e7,1.9191659275256358e7,6.826274351236357e6,393397.9899027488
