iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.789092542084097e7,7.341514184810549e7,5.8368317873856574e7,5.2164677165419064e7,6.0236869897798166e7,6.364164191391495e7,5.484294912659922e7,4.986184940724161e7,3.21894837446303e7,1.5334601989764191e7,3.63401210519897e6,239555.64299158755
2,5.788973246076459e7,7.242401379674584e7,5.968901216313386e7,4.7259586642474696e7,5.427180426300159e7,4.862272704738313e7,4.7837178172759116e7,4.87402536225037e7,2.9418193229378164e7,1.888340117956802e7,5.617886654068466e6,401512.71025748603
3,5.78882722053463e7,7.242401379674596e7,8.912082792741835e7,5.824652783535609e7,5.2382634933336765e7,4.580104688943787e7,4.37126197743544e7,4.479019384905854e7,2.766623998308449e7,2.53069417972944e7,6.542180547968976e6,401208.43004363024
4,5.788467873751608e7,7.242401379674596e7,5.044257687468822e7,4.809742294898036e7,4.853957450137676e7,5.01184980431322e7,4.54836438345454e7,4.0348375332103014e7,2.522662860458152e7,2.2759005188002843e7,6.639177548194132e6,466431.33269157785
5,5.7852757339506604e7,7.242374975864494e7,5.497832478555384e7,5.3853698457809076e7,5.518262471619359e7,4.9830416786875024e7,5.480927825044963e7,5.670798110701525e7,4.406172243350826e7,2.3852176021803677e7,6.708906968556402e6,466031.47510443616
6,5.781767179003661e7,7.242372629494005e7,7.71088721680718e7,5.29507019769647e7,6.113468118601456e7,7.64546623644501e7,9.10583572605167e7,8.303029467201456e7,7.033336325829138e7,2.647269295537292e7,6.55440897063709e6,284217.385640804
7,5.781363039598988e7,7.23807966426025e7,1.4936882382919145e8,1.6567521683996838e8,1.0033297932855892e8,7.460976660079122e7,6.3142347414598465e7,8.915260415438963e7,5.1840854284358606e7,4.452172130471444e7,8.102669313412048e6,663614.3227859105
8,5.7810936386985436e7,7.237740022698766e7,1.380221605934146e8,1.3885548849190217e8,1.148002826863175e8,1.3079228070235556e8,9.516238568991783e7,8.920906168470351e7,4.52967336854239e7,2.1956195011866838e7,6.7599347060932275e6,227906.39756284552
9,5.77932378685356e7,7.236952496964276e7,4.982425275625324e7,4.407807914705901e7,4.675075987007932e7,4.419860129363072e7,3.9585912064564034e7,3.137424107670468e7,2.4679313027608924e7,1.5746501395883705e7,6.810224278277687e6,297490.42965578334
10,5.779080902802509e7,7.235826193464565e7,6.862321415145263e7,6.126099694484821e7,5.684585993434073e7,6.6860341356043935e7,4.470545211417276e7,3.1080691278639168e7,2.7682054435608283e7,2.1256110289060533e7,6.9473244468896e6,492706.2555885345
11,5.776698290017786e7,7.235528288038498e7,5.627009657054804e7,5.098186707755439e7,4.61734602843205e7,4.642358612138176e7,4.137663847680545e7,3.460519069077805e7,2.6741891793023266e7,1.8011546117931113e7,6.693088788245481e6,510440.1311800019
12,5.776064480734148e7,7.230131065286666e7,1.0195092314180398e8,7.99847269328376e7,1.0449500957493722e8,1.0375111038980305e8,9.684999726054247e7,1.0268241186061865e8,8.63976320735926e7,4.683267300510149e7,8.102669313412048e6,473653.64487563993
