iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.4079259265662774e7,5.275629601526273e7,4.990342924964058e7,6.026104395068954e7,6.060709731480473e7,6.03934103212122e7,4.779573006619616e7,3.763133335092288e7,3.0558025948287196e7,2.186370917179713e7,5.90663501261726e6,240705.92870911793
2,5.4079259265662774e7,5.250515320172476e7,5.015374265354296e7,4.538458878998029e7,4.3941629884701505e7,3.793575743992916e7,3.2449451528481945e7,2.4946391507372208e7,2.0614181401401512e7,1.4928981730685994e7,5.258991914790827e6,322366.25328441965
3,5.407925926566277e7,5.250515320172476e7,5.233901570663804e7,4.479431979898122e7,4.007289256371341e7,3.6739638286724806e7,3.2058783695480302e7,2.8166727161499217e7,1.9971971594033763e7,1.7336403397975415e7,4.391897616617242e6,351156.88690823433
4,5.4079259265662774e7,5.250515320172476e7,4.276235031301117e7,4.270556166286734e7,3.98371706860483e7,4.1535245716224015e7,3.5501964529554695e7,2.8722650054248273e7,2.0897561952960912e7,1.878439115882942e7,6.6595098000385715e6,464506.29282117664
5,5.4079259265662774e7,5.250503862655544e7,4.8339872774924174e7,4.9820366017891355e7,5.098678700396618e7,4.643170390703723e7,4.2738740842593014e7,3.828400860268653e7,3.1838115092591472e7,2.296832962484441e7,6.4289723269197475e6,464506.58972678875
6,5.4079259265662774e7,5.25050989413546e7,5.39243275740314e7,4.859457188450987e7,4.815499662457831e7,4.993495173960768e7,4.5467534006175265e7,3.383490209599072e7,3.0985136247204833e7,2.2853409843975388e7,6.028884992179911e6,301270.8813697544
7,5.407925926566277e7,5.2422339867732264e7,5.882229959845425e7,6.094164342180829e7,6.0445315699887395e7,5.394487767281084e7,4.067165970414738e7,3.989340711507489e7,2.9400272645123333e7,2.362479021151771e7,7.590718568073461e6,662609.1417584083
8,5.4079259265662774e7,5.251395945757395e7,5.9103764983579405e7,5.942186702596639e7,6.130336849302372e7,5.879784266381547e7,4.159032232556282e7,3.535632381957738e7,2.509647515832775e7,1.5362631845920194e7,6.571328053967327e6,225606.50097236462
9,5.4079259265662774e7,5.250983552846575e7,4.291979611034164e7,4.044281606441503e7,4.0974392409428954e7,3.621122122762354e7,2.764858939315313e7,2.0699646065705806e7,1.9856066603077434e7,1.524237368522625e7,6.642808004591563e6,300134.11096916185
10,5.4079259265662774e7,5.250364048293342e7,5.358080666118611e7,5.125215460893751e7,4.835593710285592e7,4.6949924967520535e7,3.3199862752785534e7,2.5214413094342917e7,2.1028419878602445e7,1.8458317796530515e7,6.884082861295758e6,476231.9781296252
11,5.407925926566277e7,5.2501572704804406e7,4.945064247396638e7,4.535212443791723e7,4.153542622783716e7,4.142516273964356e7,3.3809597294942185e7,2.6782189170510806e7,2.217029655970529e7,1.6645269457209889e7,6.765468932516103e6,509097.21528392774
12,5.4079259265662774e7,5.248717410416025e7,5.452232433458821e7,5.10613412971788e7,5.1680791992647916e7,5.1981750808306396e7,4.6957525614191726e7,4.815691726398405e7,4.779780256813486e7,3.1679916858051896e7,7.409437626326311e6,321857.7123600468
13,5.4079259265662774e7,5.248688649905586e7,4.720639734866818e7,4.583430950431395e7,4.287552479571158e7,4.5040565763092816e7,3.583044355773711e7,2.743472192982123e7,2.2992657547179528e7,2.037749735477433e7,7.235546488462206e6,662609.5955568824
14,5.4079259265662774e7,5.2472074523354195e7,5.343237028460985e7,5.746699915962344e7,5.60656025948841e7,5.8231965692078024e7,5.325770409416038e7,4.634417767386929e7,4.5118507175404906e7,3.671471394850721e7,8.089704228158097e6,431185.25802069646
15,5.407925926566277e7,5.247159987783775e7,4.709312132823143e7,4.696666408816682e7,4.446501993447851e7,3.7774813399642706e7,2.9064499064630195e7,2.19368151768381e7,2.122054414209944e7,1.7111397302952338e7,6.064000472540517e6,401150.62106939
16,5.4079259265662774e7,5.2472150223002546e7,5.004127191581736e7,4.9151983963146344e7,4.920398996350914e7,4.5369462300949916e7,3.403909423931238e7,2.691768030636321e7,2.094701989329908e7,1.7193124619621016e7,6.999995880661419e6,509140.84232932364
17,5.4079259265662774e7,5.232370398860978e7,4.60976198357623e7,4.276267573296523e7,3.977327966302183e7,3.512532671106769e7,3.5218401478337124e7,2.912848070706629e7,2.4540978324501988e7,1.5380588976154514e7,6.920165056391679e6,566951.6399003
18,5.4079259265662774e7,5.234699609138471e7,4.645828716945704e7,4.6574906088196054e7,4.5002314881218836e7,4.091933387351701e7,3.105564975875996e7,2.3830861306729257e7,1.944889603456673e7,1.5182929612871248e7,6.8789594442265425e6,637831.0612142801
19,5.407925926566277e7,5.234780171470381e7,4.262092515159309e7,4.0125901094681524e7,3.747799159687284e7,4.054585218990064e7,3.683521684847288e7,3.619840141592817e7,3.413199586408054e7,2.3122932587747198e7,6.756526390744751e6,475091.1669701185
20,5.4079259265662774e7,5.234761559921622e7,5.328646621640487e7,5.9468473484151095e7,5.409007558743343e7,5.1051919121773124e7,4.602702150402205e7,3.665624230539636e7,2.987304164299296e7,2.5368165759757783e7,8.08945477404536e6,464507.23808454693
21,5.4079259265662774e7,5.2347837254102685e7,4.9378577047297746e7,4.322457740833294e7,4.4601638132377416e7,3.884992428006457e7,3.770075111110219e7,2.8867142222683385e7,2.795004138670794e7,1.6566698737096976e7,6.584896373535245e6,401150.3378881604
22,5.4079259265662774e7,5.2467738288680315e7,5.21855734033701e7,4.75585152392656e7,4.479257845785926e7,3.9912352878738806e7,3.3111090612635165e7,3.2059569376595825e7,2.3931005807582725e7,1.836515980875138e7,6.419839156298702e6,313799.34288832126
23,5.407925926566277e7,5.246374253918984e7,5.34210811345632e7,5.25405381801032e7,4.804721901350549e7,4.109358862489496e7,4.0281639967173144e7,3.422684405603989e7,2.744763480107272e7,2.031035621069084e7,6.3086514623907115e6,220901.02203416565
24,5.4079259265662774e7,5.248567159794256e7,4.821879959144551e7,4.564092838263217e7,4.336720579917316e7,3.9219245294930786e7,3.2776095281369478e7,2.4390111061794445e7,2.0075366887445733e7,1.5505625857812917e7,6.101496735286677e6,221001.20654016684
25,5.4079259265662774e7,5.248366183477691e7,4.256962708440903e7,4.446677264724363e7,4.230759242424846e7,3.690057834374413e7,3.4491801826611936e7,3.2907486771573335e7,2.925657608225381e7,2.097574671555231e7,6.51472454739139e6,229310.07079844442
26,5.4079259265662774e7,5.247550191979711e7,4.2617739415315e7,4.461490194261811e7,4.283291989423311e7,4.130728020445782e7,3.2647299144941226e7,2.5805897313094705e7,2.0656310977159146e7,1.86750929965301e7,6.147049861553586e6,224480.87837231503
27,5.407925926566277e7,5.246568156613952e7,5.35274839470254e7,4.540899049827902e7,4.521130904836504e7,3.966632690971425e7,3.337056444122137e7,2.6889581492806613e7,2.1478098598618835e7,1.5997262061774261e7,6.053635978952765e6,342093.05810647795
28,5.4079259265662774e7,5.228977627749905e7,4.587967315412289e7,4.550211931031153e7,4.2401609150907606e7,3.7152707211504325e7,3.736927510515979e7,2.8696613880774632e7,2.2202254198722452e7,1.6889776138876423e7,6.214208686703641e6,464506.4815239238
29,5.4079259265662774e7,5.244867974621545e7,4.254083741454397e7,3.965795497172822e7,3.675326406875693e7,3.547587383573227e7,2.565279811533165e7,2.5420852553025424e7,2.0489299640519585e7,1.4302983374429664e7,6.443269266260734e6,355805.974374459
30,5.4079259265662774e7,5.2438998108803764e7,4.7330927623586185e7,4.0995284056972384e7,3.919345251517871e7,3.596935366171685e7,3.021153963440244e7,2.354697214938856e7,1.9624666365334e7,1.4412649879299138e7,6.792445567172486e6,394339.9890802719
