iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.408066141630386e7,5.16595043593348e7,4.816062630426384e7,4.541317214535274e7,4.609252655069183e7,4.593289500868817e7,3.6161560996719286e7,2.6393425325415865e7,1.995345011111465e7,1.332166003182261e7,2.8400179112935495e6,220903.35182177264
2,5.408126783179219e7,5.1660321003303245e7,4.796104058966285e7,4.041014202374912e7,4.2067801768938035e7,3.717294585755105e7,3.352588763096519e7,2.591703608335261e7,2.02195940968467e7,1.4333646175475396e7,5.384857072043933e6,323049.9518977903
3,5.408164251657218e7,5.166022311606558e7,5.009081185731815e7,4.2136632014282644e7,3.805953465953754e7,3.596401152083029e7,2.948514020145729e7,2.6109383726727456e7,1.8366685753348812e7,1.6337333911910411e7,4.1395158797247135e6,281828.5429257714
4,5.408182503221487e7,5.166074820604117e7,4.167864093035161e7,4.1562154936183706e7,3.971904442306723e7,4.239811411824462e7,3.6040544354894504e7,2.9174589430339172e7,2.1139898700517766e7,1.916413169010502e7,6.713630702813136e6,464506.2567784808
5,5.408332035476507e7,5.166189386976507e7,4.677976750899341e7,4.691434051574052e7,4.572891838103078e7,4.067660000132623e7,3.9964190601137236e7,3.5792551573914185e7,2.9210506781105794e7,2.2535162345209055e7,6.490661393104922e6,464506.2476814887
6,5.4085291323064655e7,5.166386483806464e7,5.188189117179826e7,4.616809052109603e7,4.6007085210289925e7,4.841183447972977e7,4.4717210909961954e7,3.393364427312146e7,3.1104846090106998e7,2.2701166064782247e7,6.073902089429742e6,308448.7626462415
7,5.408615385950139e7,5.166472737450139e7,5.945852672040776e7,5.7807276852174126e7,4.6477655337258324e7,4.260180320290534e7,3.4140777469456926e7,3.2716792373198606e7,2.3003460099318236e7,1.9981504869058836e7,7.706510732010886e6,662609.7988013227
8,5.4087784060516685e7,5.166635757551667e7,5.948525413887322e7,5.748672903919989e7,6.139321886071345e7,6.055767094554055e7,4.291779679882766e7,3.758193759161244e7,2.8655658184694096e7,1.8268172905631255e7,6.578636435640168e6,225617.60020040825
9,5.409003925703329e7,5.166861277203329e7,4.165611773744598e7,3.892146597617492e7,4.0019578255239666e7,3.563814913628633e7,2.823448856810066e7,2.1588340450455457e7,2.0662057957056522e7,1.5194673646012705e7,6.646443406137678e6,296211.3513775369
10,5.4090104958286256e7,5.166867847328625e7,5.188471738635958e7,4.816155695224797e7,4.573834564917821e7,4.4902008982188374e7,3.23546190366067e7,2.517690725179684e7,2.14845655280082e7,1.8811777426371675e7,6.888273548917999e6,476732.4763038261
11,5.4090574166473076e7,5.166914768147307e7,4.817001046800047e7,4.3904902830492236e7,4.0512948515583575e7,4.1329420300595045e7,3.336744308126688e7,2.631487415387585e7,2.1714749805841178e7,1.565960897288855e7,6.911909166622798e6,510880.20129922614
12,5.409100095106149e7,5.166957446606149e7,5.2217316229234196e7,4.742135905519124e7,4.830797273163965e7,5.015925791890246e7,4.6409538465179875e7,4.786438778469541e7,4.703448081414618e7,2.9297682797589086e7,7.966517612877578e6,467563.0087279386
13,5.409324802672005e7,5.167182154172005e7,4.652853547662384e7,4.3509349586029045e7,4.1419525129577786e7,4.463503311123428e7,3.5466268750802755e7,3.060572705744447e7,2.5976397030634835e7,2.347117872336745e7,7.357253939731469e6,662609.7988013227
14,5.4095658721739784e7,5.1674232236739784e7,5.1904738479034916e7,5.504895538579e7,4.657524583160174e7,4.813383118220192e7,4.423301214269161e7,3.738786729006384e7,3.5118989100804985e7,2.9701624906980976e7,8.060277813976715e6,429635.5875270088
15,5.4097981291738585e7,5.16768938827198e7,4.5143567669519454e7,4.506424474102635e7,4.318961973417324e7,3.71977752235356e7,3.1652951767936528e7,2.3470937153887406e7,2.1595045878822096e7,1.7773357627184123e7,5.97096724872961e6,401150.6724581219
