iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,5.789092542084097e7,5.585993827618752e7,5.256451380288386e7,4.785289053549479e7,4.80016444832558e7,4.7629400168804586e7,3.7267907827550024e7,2.714866816743926e7,2.0377658912791684e7,1.3540465649005419e7,3.064238220317377e6,220904.73750535943
2,5.788973246076459e7,5.578698751566179e7,5.096446556647015e7,4.280983994578819e7,4.362156478044543e7,3.8525666981387645e7,3.451292081202473e7,2.6669347039933383e7,2.0811449510832593e7,1.547703758125883e7,5.546473972029141e6,325920.7375857008
3,5.78882722053463e7,5.5795086636335954e7,5.3854907807935834e7,4.491528184150031e7,4.0455626981539115e7,3.801259368166591e7,3.0878972730488896e7,2.7193697685207203e7,1.914696562350143e7,1.6853285836188097e7,4.338841779119531e6,291585.0048854883
4,5.788467873751608e7,5.5788670956119746e7,4.479027621037166e7,4.366250572867976e7,4.1553140815706536e7,4.42734395760659e7,3.7365999222999305e7,2.980714266508378e7,2.1532366391649496e7,1.9559641552436844e7,6.758677234819995e6,464518.9209758827
5,5.7852757339506604e7,5.5795086636335954e7,4.927077666804038e7,4.920149795056034e7,4.761321208419025e7,4.2301872939752415e7,4.1125178648963526e7,3.6644601680068076e7,2.9540175444242477e7,2.2919730319971602e7,6.745026907755637e6,464527.4670970624
6,5.781767179003661e7,5.5795086636335954e7,5.571815777649565e7,4.817114876458407e7,4.80527024397603e7,5.068271170734438e7,4.6279388441351876e7,3.4825429915301874e7,3.143111976402846e7,2.2869998900191966e7,6.198490917226825e6,308710.70191810234
7,5.781363039598988e7,5.5795086636335954e7,7.329963645021674e7,7.002644241647038e7,5.0235145776913345e7,4.487210582209164e7,3.5320179419730216e7,3.360201684537141e7,2.3576470100329258e7,2.0187382819184326e7,7.723077530245626e6,663614.3227859105
8,5.7810936386985436e7,5.5795086636335954e7,6.96576546776875e7,6.800196476389378e7,8.410254776322198e7,9.301819548896706e7,4.924813879875235e7,4.183970841083139e7,2.942560573369222e7,1.861038547499878e7,6.60452120777849e6,225959.07660803944
9,5.77932378685356e7,5.5795086636335954e7,4.444710512686433e7,4.1739832447655864e7,4.237983408168091e7,3.77608650404004e7,3.0423173950018004e7,2.2957770461636417e7,2.1529604653463557e7,1.5422800262548346e7,6.668720452980007e6,296738.97700150515
10,5.779080902802509e7,5.5795086636335954e7,5.602831126450347e7,5.145101448854758e7,4.809328568701944e7,4.72023833774724e7,3.370717046675673e7,2.6213261391322948e7,2.2344170563032232e7,1.902051738348517e7,6.911010053797389e6,477681.8967299948
11,5.776698290017786e7,5.5795086636335954e7,5.2400190576616675e7,4.590297591646511e7,4.22045309979832e7,4.2771766176507875e7,3.46392271683117e7,2.6905025196871385e7,2.213161058799526e7,1.5895478650082115e7,6.926822875163419e6,512206.4119986751
12,5.776064480734148e7,5.574998864217144e7,5.6247789984575495e7,5.087644990716694e7,5.388422725120658e7,5.464301962069774e7,4.844749505950914e7,5.057242347638504e7,4.8939321445266515e7,2.9978428696929254e7,7.981828214521937e6,468257.6755198321
13,5.773850010972397e7,5.574338183471292e7,5.513548360772646e7,4.715893297689451e7,4.646372200947815e7,4.7927988355051816e7,3.705147000196451e7,3.152244915272554e7,2.6496024699423954e7,2.4023570203135394e7,7.37682568760525e6,663614.3227859105
14,5.773508185744548e7,5.574338183471292e7,5.544824585792241e7,6.065102205299191e7,5.070377434396526e7,5.122321511932774e7,4.6812241665778756e7,3.93501667088754e7,3.6633241995851025e7,3.0336013514328074e7,8.06970896297723e6,431169.15731895727
15,5.7734693645109065e7,5.574338183471292e7,4.762815926896914e7,4.702882081782239e7,4.47328327368996e7,3.836510277697313e7,3.342287688257587e7,2.4549841818231694e7,2.2253838443213247e7,1.8035525635483615e7,6.03460094311487e6,401166.6996107877
16,5.773351807508828e7,5.5781569650788054e7,5.153978693026959e7,5.055397081734402e7,4.8642527727e7,4.400559349407205e7,3.721660741871838e7,3.0569269343613178e7,2.377862882102783e7,1.885619270346769e7,7.0002026654810095e6,512418.9985058787
17,5.772559101223814e7,5.574338183471292e7,4.803534037360125e7,4.342339206822809e7,4.104721844328636e7,3.6473891033946365e7,3.655453788430022e7,3.0060502776129454e7,2.517494123468481e7,1.5470437483137935e7,7.229310555894451e6,596878.9284477534
18,5.770787437736134e7,5.574622000427591e7,4.78008835331334e7,4.754466486710091e7,4.6134137109129295e7,4.25060691899485e7,3.2336412617932335e7,2.5860911715728074e7,2.1636253558272794e7,1.629348803375877e7,6.922935407443097e6,656230.4173369969
19,5.77072311109287e7,5.574338183471292e7,4.4858247016262144e7,4.1727867993710816e7,3.971053393558101e7,4.338751726810998e7,4.100845164233732e7,3.9542694652857095e7,3.716027931159621e7,2.3709398809361644e7,6.9769518458525e6,600501.7573809216
20,5.769708725964272e7,5.5781569650788054e7,5.5942627067974284e7,6.453180826966275e7,5.059994134515506e7,4.9582748727795154e7,4.924554246322489e7,3.9257541798761666e7,3.210459672322426e7,2.5075625288856614e7,7.996080253132977e6,464515.27249131567
21,5.768310824426818e7,5.5781569650788054e7,5.246581130149403e7,4.448739344765625e7,4.640892878509949e7,4.042584845957351e7,4.123480132504794e7,3.1321674864660427e7,3.0381057763028346e7,1.700606128485789e7,6.558014128287251e6,401165.70827947994
22,5.7681586027771376e7,5.5781569650788054e7,5.35981057223188e7,4.823270312219086e7,4.528647894328217e7,4.031554147002533e7,3.3665983775636405e7,3.3000920805786803e7,2.4340678027066305e7,1.8791018822616097e7,6.654275291855003e6,401168.7094282677
23,5.7680589334883615e7,5.62070756328038e7,5.5294521211012796e7,5.308648609741888e7,4.795689532551575e7,4.075672411447722e7,3.992039826102021e7,3.3652211460098684e7,2.7314423492441706e7,2.0311252134689055e7,6.318247948489556e6,220901.28562834923
24,5.767226503971816e7,5.589683645467139e7,4.977373439764728e7,4.518353520473666e7,4.327294470308955e7,3.928909971660334e7,3.3454505101066798e7,2.4206625761092916e7,1.900568926484076e7,1.5038022138759851e7,6.13471408954256e6,220901.3057494753
25,5.767030591869825e7,5.572895213694553e7,4.45708749618496e7,4.562086884697596e7,4.3888231206728175e7,3.824216544597004e7,3.573607572298367e7,3.4251345277885936e7,3.087226935004121e7,2.135409539344467e7,6.50734525830597e6,220901.7068182852
