iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,-2.9676318575433844e8,-2.913255151799313e8,-2.8871276145161974e8,-2.631874571032061e8,-1.1331407562420762e8,2.3227022581610203e7,1.2713030140259409e8,1.8980238668815833e8,1.2293216072386822e8,4.049212837146897e7,6.75999213872468e6,292095.2355017419
2,2.8942854800144732e7,2.945739002081351e7,2.7840666177997123e7,2.7963723420386802e7,2.8636203256092384e7,2.5719662053053744e7,2.3822921303523883e7,2.1703444010715056e7,1.664209820349731e7,1.0198339530813357e7,3.5877882406488257e6,309678.88282889035
3,3.1968230498035025e7,3.1457636249863323e7,3.2477226801550973e7,3.0239567247066636e7,2.9070876165932328e7,2.8133857552795783e7,2.7209542671179965e7,7.194143545195755e7,6.2099495600322425e7,3.464959358068699e7,7.08042150345525e6,401150.20478295843
4,3.199854854756866e7,3.148888013814737e7,2.8833042257605292e7,3.3981370944716685e7,3.850783386679793e7,5.037572462360239e7,6.3049729322159275e7,7.497421840467255e7,6.614030932869704e7,5.4558118813755065e7,7.088584109636632e6,469299.8834003453
5,3.19990359765649e7,3.161195464189931e7,3.043734980658278e7,3.3025461971510425e7,3.7942196365015596e7,3.413655169436912e7,4.382426561340374e7,7.826670549939579e7,6.419540766341506e7,2.8428464312981986e7,6.838908054449627e6,464507.20471590187
6,3.3857893823662415e7,3.425560195416682e7,3.869783840288416e7,3.546243962898081e7,3.8411293284783304e7,4.288163840805425e7,5.163760836984083e7,4.8856838839387864e7,4.3297314367983155e7,2.3429130344065472e7,6.1889624504819345e6,221258.57207418434
7,3.409051812819962e7,3.1837011052693117e7,3.8632447297170505e7,4.2160302534630165e7,4.735031961060834e7,4.52367816901875e7,4.739969994268541e7,6.036524282480377e7,5.540197343051115e7,2.6667975599590033e7,8.075404400551863e6,662609.7988013227
8,3.479510922571316e7,3.375418537715704e7,4.600608474237847e7,4.919747217702776e7,5.445384137128919e7,5.3555915236141086e7,3.778994146914956e7,3.0430784897212923e7,2.138180241942607e7,1.2757031370788097e7,6.425619836766026e6,226769.99563073757
9,3.865364736380849e7,3.645567061238304e7,3.341362155622065e7,3.4531533744780734e7,3.848852373525089e7,3.3748103895071596e7,2.6151805551541597e7,2.0770427199902758e7,2.3191367057495542e7,2.1761831701779895e7,7.119180581004532e6,309678.30026203155
10,3.9157378383858025e7,3.692949964418213e7,3.778756208865811e7,4.875578768984769e7,4.574862914083508e7,4.4106744192282945e7,3.6683091075046286e7,3.2566695509878963e7,2.6963310266246647e7,2.2957112756305546e7,6.763920094136453e6,467395.0658928233
11,4.285580871106498e7,4.0336577020542964e7,3.646506819352006e7,3.3446813220308214e7,3.262198549935557e7,3.3668887461633205e7,3.268642901312287e7,3.2745750789387763e7,3.369583302819109e7,2.2873805581581373e7,6.175124443313203e6,305398.3042303692
12,4.3011112532240584e7,4.120688692517789e7,4.35941434999097e7,4.116170150371604e7,4.36448337147118e7,4.902443365417215e7,4.666883627232969e7,5.31826298425969e7,5.483604029395887e7,3.647743563035109e7,8.078519378446666e6,468737.3095440892
13,4.36834555815133e7,4.1853464597467214e7,3.9194176326521456e7,4.044022800278899e7,3.895717914838053e7,3.814889304571591e7,2.8870603075706527e7,2.366189185586427e7,1.852548734177454e7,1.7674950275510672e7,6.982754488154304e6,626041.0471477564
14,4.553218910659517e7,4.384467951950887e7,4.693871675828167e7,5.266050097487683e7,4.494088319397667e7,4.483658213907465e7,4.445685343822129e7,4.2447850144094095e7,4.168673119900653e7,4.085307295632804e7,8.084356575426631e6,431005.70771561546
15,4.677390734542668e7,4.39985995234317e7,3.8045373516900845e7,4.164421634898631e7,3.818170636160885e7,3.1586667368483216e7,3.0167866496406272e7,2.5412398280924454e7,2.550035113312202e7,2.126262385776601e7,5.880700433937091e6,284186.64184227894
16,4.688455102597063e7,4.48792254637316e7,4.490427619110293e7,4.50397711574723e7,4.549294458935103e7,4.212950698118992e7,3.568792886762245e7,2.8870014473507047e7,2.2652326887247764e7,1.7228754920451015e7,6.855590440574567e6,520422.67378352775
17,4.908420508941905e7,4.686704333640325e7,4.24020234966283e7,4.008226753128412e7,3.7155540848132014e7,3.333688175948015e7,3.4125452717368424e7,2.907896785114199e7,2.534495584999517e7,1.4942695990304045e7,6.4849857169609405e6,352789.76397710183
18,5.034497660706414e7,4.8353240165739626e7,4.332091515410141e7,4.384202026234009e7,4.2576216475075945e7,3.882618042060746e7,3.2954428664802775e7,2.7878022938492e7,2.0640577162621964e7,1.4001032014832254e7,6.399514622304918e6,532480.1111656674
19,5.041720721182428e7,4.863206575331704e7,3.990166762745908e7,3.740601342409943e7,3.5678176369834095e7,3.601733581246251e7,3.3837027241991654e7,3.653958882469246e7,3.438278400559037e7,2.3549883121077854e7,6.590435864399593e6,467429.1064621614
20,5.085788625487903e7,4.903552267518535e7,5.080286282490265e7,5.634197368231628e7,5.003972936875567e7,4.65942508390616e7,4.288786147005127e7,3.469273647416217e7,2.749574616986846e7,2.8609561127407394e7,7.604140779619827e6,464506.3437453465
