iteration,x1,x2,x3,x4,x5
1,991290.9234895047,861807.9295945414,691495.75697884,437010.41308358766,463353.2383738449
2,999543.889572206,689545.1871396378,305677.8262127385,512478.55770229804,1.020678917608415e7
3,1.3483924281214138e6,1.0656153794879671e6,767911.6419427866,474232.83437282586,235996.63571610145
4,1.3499290967562387e6,1.0934637759628966e6,1.3229443657451654e6,1.7272000980437808e6,2.3470763861448937e6
5,1.3499290967562387e6,1.093462547524381e6,1.8420776991986586e6,1.604005407931745e6,3.0270162339150403e6
6,1.3499290967562387e6,1.093462547524381e6,1.4385955658720145e6,1.2965739179020813e6,1.1346329407507004e6
7,1.3499290967562387e6,1.093462547524381e6,1.1875364875889993e6,1.6376949154997263e6,1.2159573646391556e6
8,1.3499290967562387e6,1.093462547524381e6,1.0622261512993928e6,1.5619141792871961e6,839705.6133230082
9,1.3499290967562387e6,1.093462547524381e6,1.0007070208393876e6,746791.7040571035,781308.3724287655
10,1.3499290967562387e6,1.093462547524381e6,1.0148936208618069e6,594527.8670572229,235996.95741950936
11,1.3499290967562387e6,1.093462547524381e6,1.1116893267042153e6,1.0488221136977552e6,1.1034718147312105e6
12,1.3499290967562387e6,1.093462547524381e6,996171.9666072489,828034.3986331546,558835.8942137775
13,1.3499290967562387e6,1.093462547524381e6,1.0028089505087449e6,897591.5947867059,962499.1905231029
14,1.3499290967562387e6,1.093462547524381e6,1.1464883855352942e6,1.2294593510361947e6,983960.6604108461
15,1.3499290967562387e6,1.093462547524381e6,849093.9725668263,582451.0001648748,477608.05140148615
16,1.3499290967562387e6,1.093462547524381e6,973125.324530208,1.145806808437639e6,1.1118205531896646e6
17,1.3499290967562387e6,1.093462547524381e6,819441.2566566204,892305.3476386699,388668.2972922716
18,1.3499290967562387e6,1.093462547524381e6,1.3265219873898607e6,1.4339126450559967e6,1.1935302449166737e6
19,1.3499290967562387e6,1.093462547524381e6,1.1494211955549517e6,585154.7229361096,601353.267912895
20,1.3499290967562387e6,1.093462547524381e6,994940.8322506752,1.225164871934014e6,561497.8608956214
21,1.3499290967562387e6,1.093462547524381e6,803886.9647479539,828350.2970387186,773169.9912110413
22,1.3499290967562387e6,1.093462547524381e6,1.3267970314078336e6,1.2070379035751182e6,595903.6294062277
23,1.3499290967562387e6,1.093462547524381e6,1.0047209664720199e6,548085.8059817823,477036.39416706725
24,1.3499290967562387e6,1.093462547524381e6,996345.2927920511,856443.80227208,724030.0977175226
25,1.3499290967562387e6,1.093462547524381e6,1.003927717520047e6,838008.9026504811,389253.4102712681
26,1.3499290967562387e6,1.093462547524381e6,1.2507722894023843e6,1.0186864897135436e6,494454.60936381505
27,1.3499290967562387e6,1.093462547524381e6,816506.9640148873,578581.8132638223,438816.9808254959
28,1.3499290967562387e6,1.093462547524381e6,1.1454701779361754e6,1.3114200715626972e6,1.1884443414871744e6
29,1.3499290967562387e6,1.093462547524381e6,1.1220697025897903e6,1.0594982130589662e6,1.1698685586477187e6
30,1.3499290967562387e6,1.093462547524381e6,797284.3984862259,776158.9783511166,314555.1896630579
31,1.3499290967562387e6,1.093462547524381e6,1.2464454866316174e6,1.1974247687383676e6,1.0518208090334167e6
32,1.3499290967562387e6,1.093462547524381e6,1.0015842992305374e6,1.0221981639271113e6,301240.6761178183
33,1.3499290967562387e6,1.093462547524381e6,1.106621404041761e6,1.0077888480014238e6,332502.92552449356
34,1.3499290967562387e6,1.093462547524381e6,969010.871598064,493278.893757737,237454.69499686357
35,1.3499290967562387e6,1.093462547524381e6,970112.1052506655,900522.2491735574,973042.6653091651
36,1.3499290967562387e6,1.093462547524381e6,1.1126200756407226e6,1.145399272022217e6,491191.924825249
37,1.3499290967562387e6,1.093462547524381e6,986913.7671376565,943537.7319707898,279799.484866373
38,1.3499290967562387e6,1.093462547524381e6,962945.083437861,922852.3579087262,427026.9922485412
39,1.3499290967562387e6,1.093462547524381e6,806314.2365637796,785102.0792372078,314331.42821661895
40,1.3499290967562387e6,1.093462547524381e6,1.2479535808048248e6,511819.62385452597,294297.0714106688
41,1.3499290967562387e6,1.093462547524381e6,963295.4952373039,884178.6944394405,265540.6943840387
42,1.3499290967562387e6,1.093462547524381e6,989420.5448035239,793773.4433868048,667150.6540719429
43,1.3499290967562387e6,1.093462547524381e6,994199.9219053737,1.1267152634339235e6,830164.7805824284
44,1.3499290967562387e6,1.093462547524381e6,808490.6121712932,502770.710739617,315738.4091056711
45,1.3499290967562387e6,1.093462547524381e6,1.1143511765895095e6,629633.9394779291,291400.2041466754
46,1.3499290967562387e6,1.093462547524381e6,965218.9533736799,707954.3973487203,247177.71656714694
47,1.3499290967562387e6,1.093462547524381e6,803939.1011574138,485880.05516382726,235996.8066622346
48,1.3499290967562387e6,1.093462547524381e6,799932.0791265685,745752.5204102714,692375.6506848056
49,1.3499290967562387e6,1.093462547524381e6,1.2600733561768825e6,496333.2456052317,316080.9076157701
