iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,6.119830615127421e14,6.923485510797735e14,7.064866771559546e14,7.378613517321365e14,5.821827846398784e14,3.862122048119629e14,2.4351157163944944e14,4.63432999586131e13,2.999999999920524e8,1.9617229999091994e14,1.0263129998525448e14,2.1508602505682066e14
2,4.8256753252512456e14,6.51786106340975e14,6.762010095292745e14,5.986286646769926e14,4.890628644321364e14,4.120830304341971e14,3.0181498542908656e14,2.0228047020715725e14,2.0959979735175934e14,1.7694943465652744e14,2.5367920631507938e14,3.511023913224078e14
3,3.960084555561179e14,4.041552451531502e14,2.9706583470799206e14,4.476330155119021e14,4.1727599608012294e14,3.7993103555246475e14,3.60213367324977e14,3.1246118127909875e14,2.929347674022544e14,1.3885272997981666e14,7.310472997421273e13,5.172272997088677e13
4,2.5565956036324616e14,2.4349929063982872e14,3.684256336422271e14,3.158140572007009e14,2.992168725861271e14,2.5235188661290625e14,1.7754974476578825e14,6.179146263257756e13,5.8328211554878766e13,1.231037266118214e13,4.795629999999975e13,2.7836281167368467e12
5,2.4927497827802838e14,3.009039549820984e14,3.6085593748490194e14,2.6168486710214206e14,1.5241137070429088e14,1.0385226465034516e14,9.222006656344434e13,2.069729622676533e14,1.6332114880618153e14,1.957106731869527e14,1.6382568652137947e14,4.373471307051454e12
6,1.0068324081300962e14,1.157440790774286e14,9.648106697166647e13,1.7712744498236744e14,7.745133111572469e13,6.236586033216545e13,1.0801665441500006e14,1.551380256748352e14,1.0123786989528925e14,1.570217593465978e14,1.3967891196858025e14,2.4306455924733382e8
7,4.876645949031419e13,6.71329364418284e13,4.406089105668009e13,9.247351771758689e13,1.0317750294504686e14,7.037004944143808e13,4.969341961125018e13,2.6076209826398383e13,1.0646193392472172e14,1.0121572731590666e14,2.999999998828082e8,1.2054926884749727e7
8,3.595608115840274e13,2.9855088435283883e13,3.0223744683904902e13,3.7297012723359125e13,6.886133576773475e13,5.5948104712882984e13,1.0853433127154895e12,5.406621858339089e13,2.1338012487959758e13,2.7108426051629277e13,1.9280096410856528e14,1.0573657317391057e7
9,1.6711111819912586e13,3.953093908384111e13,1.3274892379320134e14,7.701802212869631e13,4.4571293317812516e13,5.498015567200276e11,1.2203374420759297e12,5.1807088905067276e10,1.1169387360019175e14,1.2243461306649814e14,1.8470262966927002e12,4.56230183474648e6
10,9.27220405175277e12,8.614764608449068e12,7.228443485509993e12,5.226970201148834e13,2.808490273677642e13,6.77319859464259e11,5.4541425766993234e13,4.798887272554888e13,1.005355608846809e14,9.056609334041847e13,1.5040687441275156e14,2.653964217994146e6
11,8.481246981115015e12,4.2655250615474873e12,2.024990741424817e12,4.758804364391275e11,1.0916286337909365e12,6.533262760182106e10,1.0206483866589015e11,3.1195592292387797e13,1.0772438381091833e14,1.9103443839516734e14,1.3140762903967711e14,1.484443480554101e6
12,5.707321398920334e12,1.589068163288997e12,1.933459588437701e13,5.823077737092997e13,2.976474386254278e13,2.1005190536483658e10,9.835402668945133e9,4.779924416297116e10,2.4892557308530215e13,1.3766633752268904e13,2.99999999996329e8,2.6035300311661456e6
13,1.057451235287791e12,1.1019752668283662e12,1.3497637007986646e11,5.556378531284799e11,1.409762232484831e11,2.588892951548967e10,4.197013030525621e10,4.1337071547788036e8,3.475807390251625e8,2.868891951352291e8,1.889754722114329e12,5.511270292953647e6
14,1.0444708411610605e12,2.1785112492382446e12,1.4868719466543053e13,2.965349797773008e12,2.8978603168147797e11,1.5861616105142792e10,1.2205961482937782e10,4.2404158853959674e8,2.3139234390925884e9,2.175627454709591e12,2.999999999916968e8,5.518505124034261e6
15,4.236402850592561e11,1.9918416262499963e12,2.4169381036204145e13,5.7261119583828414e13,8.024481616731982e11,6.590241530349472e10,8.230480104714378e9,2.634927532830432e10,1.3455489245431414e8,1.0619202113793432e13,1.2295712960926795e7,680368.3239608186
16,4.754131386522864e10,7.583823086184068e10,1.6213972810061953e9,2.874849702094406e9,1.596360475661964e11,4.6052038415227325e10,1.9924956642891865e9,2.6997801464925444e8,1.494203068511612e8,1.5064026536157832e8,2.0930507507999247e8,2.2484379604196213e6
17,4.559167744472877e10,6.75965792871052e10,3.586905871218239e9,6.7333723918641086e13,8.682373448453187e11,6.7145705259818344e10,7.008961381392639e10,7.157423722580951e8,1.495918453936179e8,1.2026723046311516e8,1.6025180080290538e8,723460.1455425699
18,1.2926243128625198e10,1.2611636110473552e12,1.5546255305227645e13,5.568688960749738e12,6.74202282972825e11,5.9310921569799446e10,2.785049069514873e8,2.823168019236093e8,1.2257886832326615e8,3.907726982599324e7,1.3355030916004466e7,3.196345180183388e6
19,9.104150887491741e9,7.545062381908518e9,5.646579828040884e8,3.363774153152295e10,2.8261459783412854e11,2.792659414153399e10,5.9427486247457924e10,4.1486928773180306e8,1.1837179093002695e8,6.957499632821903e7,6.91487421636185e7,2.6944547773017e6
20,1.8753611522892888e9,5.526608627806612e9,3.9423219775147945e8,5.196826405146002e8,3.359595631104104e8,2.886222774536781e8,1.1444336975822422e13,1.4364957758290124e8,1.2768142021751463e8,1.614524413424013e8,2.3717638853038952e8,2.901676728707267e6
21,1.5386685990271232e9,1.7572006811310543e10,3.2525334843068984e12,1.9838853719433223e13,2.0602894968043492e13,3.2727695831474777e10,2.478577191492739e13,2.6662264072527023e13,1.3318118646843623e13,1.0852498571901053e8,9.241639941240221e7,850695.5793450869
22,9.09240492194055e8,3.745922271660037e8,3.814349756316082e8,1.781324417353689e11,1.3668828338805505e11,2.6183619335028073e8,2.4578373407088274e8,2.6395893687172258e8,1.1352365110190067e8,1.0004895389838487e8,9.581088710811555e7,682909.9553330702
23,3.7711136412937564e8,3.573384881007385e8,2.847320560348456e10,5.6865303911694275e10,6.833232733182117e9,2.578847776909849e8,2.050561071489605e10,1.1337335720007515e8,1.3605203329949576e8,1.2770924824954945e8,1.1812174943407118e7,402534.21206663665
24,3.6838930262196195e8,3.3048116244024265e8,6.097915960536304e8,2.823366163676539e8,2.6495247836717418e8,2.499520012940237e8,5.0651589847154255e9,7.354756496433896e7,7.234138548606503e7,4.1086472315056264e7,1.1794600823392192e7,498089.0057708732
25,3.387758920939171e8,3.1880365123887223e8,3.8930224178086406e12,3.1194114574005604e9,7.288716508208771e9,2.4781009029296866e8,2.255098463463538e8,1.0783878594742379e8,1.622950981428696e8,7.885241190190962e7,1.2253868267709771e7,344939.4392868434
26,3.3143450988226855e8,2.978547722635033e8,2.8148088836334693e8,2.4954143724907225e8,2.3511289646188807e8,2.326158340323391e8,1.3770950407954392e8,6.601570815112746e7,5.942155523343778e7,8.498426182969177e7,7.488450390753391e6,232635.69439344923
27,3.1449113202326316e8,2.9183051030944073e8,2.7780615183885854e8,3.696437428023935e10,2.3783622148646963e8,2.0943775772915366e8,2.9368241270202133e10,3.152466177206048e8,1.638751205534532e8,3.60827701256871e7,8.197167050063934e6,472097.9895251979
28,2.985790972458782e8,2.953528304898232e8,2.811805882718078e8,2.3288445078172927e9,2.3037045314111382e8,1.954435333476338e8,1.8407042329982452e10,2.4358428378812492e8,1.603494784942168e8,3.921936510890609e7,8.695928749751119e6,2.27805668721918e6
29,2.985538526908638e8,2.7859442499709666e8,2.326503503095464e8,3.7836519618132706e9,1.0524993997012529e8,1.2477927468152717e8,5.188378932586546e10,9.909300613047025e7,1.2302049252405646e8,5.272813239819801e7,1.294481140719248e8,1.689966673456135e6
30,2.881152674452667e8,2.756888238674258e8,2.2046947774908668e8,2.189818321298848e9,2.20314633612549e8,1.8394872461550486e8,1.6680318788835254e8,8.147910778365028e7,5.3216952345029265e7,5.2152002874224246e7,2.0409225719722956e8,689628.4892202881
31,2.8430417319448984e8,2.687735372191516e8,2.1627484099802974e8,2.0437579387089825e9,2.289694133646756e8,1.907337489539962e8,4.139275630959618e10,1.3213513583835095e8,1.076591780803718e8,1.4580764229444343e8,2.1388478425527424e8,2.666768227983605e6
32,2.825058407876371e8,2.203222723021242e8,1.669319088932417e8,1.8659092472168e9,1.535188887107108e8,1.6612766051022604e8,1.8989489665393633e8,1.2623503039598778e8,1.100653172272799e8,4.524840621225634e7,1.2818587731458046e7,641633.1653359991
33,2.7056527294116783e8,2.1913413039893153e8,1.8193919812527078e8,2.0475257128346354e8,1.7734336316169158e8,2.3943844646408486e8,1.549492376070346e8,1.234020644093849e8,1.6292527871900016e8,7.807132308887321e7,1.0450039074337043e7,378339.86096081237
34,2.7038866711751175e8,2.219322326710375e8,2.1091480895535007e8,9.973435529025571e8,1.9568343603581917e8,2.1280770435603288e8,2.0902194896911407e8,9.849768126730031e7,1.111112865709602e8,2.6538424126111716e7,8.597035859166544e6,829456.0925394804
35,2.5793241488485622e8,2.049785445049271e8,2.0306701289127702e8,4.4917638601343846e8,2.070702834223917e8,2.168226214127025e8,1.6349212986175704e8,2.0656789581707388e8,7.64934690299528e7,6.816671822910613e7,1.3457245992122937e7,448169.93277687597
36,2.4033176102773514e8,2.1295041698699725e8,1.8016500747460094e8,1.774479436356781e8,1.9664425859545475e8,2.1614264097432128e8,4.9388870104728565e9,1.0657089710250035e8,1.8137229623233402e8,6.2132964405138195e7,1.621893186678573e8,494199.9296668564
37,2.2528047048284873e8,2.024273800735766e8,1.699690911642359e8,1.2733863857492208e8,1.1247980676755777e8,1.769476785331971e8,1.7027014284684727e8,7.416835856711796e7,5.003755144446719e7,2.951347796001932e7,7.772306416005648e6,2.1308628008241095e6
38,2.232327309950136e8,2.0515527758222243e8,1.6629039939457685e8,1.4259775493818477e8,1.343592656165703e8,1.8765725581008857e8,1.4963625793818796e8,1.3110117917998192e8,1.8272948966799337e8,1.3755856104801974e8,6.89464593093228e7,804619.3137191636
39,2.175379936087616e8,1.88802408348505e8,1.3587427398556235e8,2.824296432031336e9,1.8105606783386588e8,1.07343918890403e8,9.631893832577088e7,1.21436462843833e8,1.225004660573442e8,2.616386438152542e7,5.897435489622429e6,498812.879066348
40,2.134260124793253e8,2.0141191999802908e8,1.7759326371687493e8,3.580357532198968e8,1.7012508044853115e8,1.7510443477010033e8,9.073304887286207e7,5.5592681946265e7,9.586180863697696e7,2.7273033997601353e7,8.508572550503014e6,461080.16603945754
41,2.1227598420887128e8,1.9181273882828176e8,2.0758985440506774e8,2.7651999116901404e11,1.4526241677899566e8,1.0135733610604647e8,1.6179821290971178e8,1.544487514639707e8,9.420647037248495e7,9.68421368253327e7,9.032509372276992e6,1.9460042043221882e6
42,2.029694231822626e8,2.0184146995962816e8,1.5625926512154007e8,1.196546378496027e9,1.7167863454869092e8,1.1277143916134802e8,6.540480881914312e7,1.187259948132911e8,1.2478479319398165e8,4.1744401103066966e7,8.764460392229859e6,412275.3803272271
43,1.9094153547493154e8,1.8014625801686984e8,1.971174599318698e8,2.319271508841717e8,1.5557348873848537e8,1.706192808711291e8,1.5985400436437473e8,1.7857196762155962e8,2.0030952163582692e8,2.289657322712452e7,6.886140709568387e6,557114.6211673374
44,1.4315942731199366e8,1.3342636349819383e8,1.1422152681397465e8,2.333518906632313e8,1.427792331951813e8,1.2231297052444953e8,1.3026983064046788e8,1.127456410536161e8,1.0514248791204184e8,2.6071288991908066e7,8.10730843528466e6,434778.0816111764
