iteration,x1,x2,x3,x4,x5
1,8.342493e14,1.742987870999908e14,1.4857710449769972e14,1.8624798754469962e14,3.15395269567035e14
2,8.342493e14,1.4998662815912134e14,1.3884306627975445e14,9.081281538640203e13,5.469014136947309e12
3,8.342493e14,6.4849554343016266e13,1.7847749330638875e14,3.961384536997129e14,4.135980786419503e14
4,8.342493e14,8.903289787310366e13,6.521427544750766e13,1.2580833461857445e14,6.402493145717391e12
5,8.342493e14,7.62821564769595e13,1.072028190528013e14,8.330395361984689e13,2.009751905250032e13
6,8.342493e14,7.62821564769595e13,6.7975272881716234e13,4.0413315805513906e12,2.2528001829937125e13
7,8.342493e14,7.62821564769595e13,8.45066173462778e13,1.1348350660911917e14,2.1442942450713016e13
8,8.342493e14,7.62821564769595e13,4.248129378213127e13,1.1813845953979969e7,4.1871807172573555e13
9,8.342493e14,7.62821564769595e13,2.364395487113971e13,2.3142254514859e13,1.5088715187215781e13
10,8.342493e14,7.62821564769595e13,4.598811482189451e13,5.255249467907025e13,2.8913093368602e13
11,8.342493e14,7.62821564769595e13,3.716838358300369e13,1.8699914200619375e12,4.765685020201207e13
12,8.342493e14,7.62821564769595e13,2.1387031086929176e13,8.646880866393461e12,6.3250746742259164e13
13,8.342493e14,7.62821564769595e13,4.598817562210716e13,2.0676056419864833e7,3.814934587507382e13
14,8.342493e14,7.62821564769595e13,3.716828199825153e13,1.9483220555600345e7,3.007951896497122e13
15,8.342493e14,7.62821564769595e13,6.084287792606714e13,5.682888881714091e13,4.320714942542872e13
16,8.342493e14,7.62821564769595e13,1.860664425538943e13,2.8216171273032784e7,3.509515731649435e13
17,8.342493e14,7.62821564769595e13,3.387624699255471e13,1.1687910252273139e6,3.863471071624222e13
18,8.342493e14,7.628215647635594e13,6.186197396876334e13,5.002481840734766e12,1.5778499027210516e13
19,8.342493e14,7.628215647635594e13,4.122059644857799e13,4.5125034024386875e12,4.093283284794527e13
20,5.362886853693885e14,7.034870121334451e13,4.408891992657885e13,6.8245830027079375e12,4.44203309227971e13
21,5.362886853693885e14,7.034870121334451e13,4.08436833240402e13,1.895454975862078e13,1.7572776252614133e13
22,5.362886853693885e14,7.034870121334451e13,5.864402395625217e13,1.6131370427531935e6,4.128987869850289e13
23,5.362886853693885e14,7.034870121334451e13,4.4474231369712875e13,8.613748923931406e12,1.825189285865914e13
24,5.362886853693885e14,7.034870121334451e13,4.201078386035424e13,1.0113166522629214e6,1.6406355978997375e13
25,5.362886853693885e14,7.034870121334451e13,4.236069591899824e13,1.1192132974452703e13,3.87859377083837e13
26,5.362886853693885e14,7.034870121334451e13,5.759566392020038e13,1.6975986997065797e13,3.767233629184284e13
27,5.362886853693885e14,7.034870121334451e13,4.056328160740028e13,1.5592738985328484e13,2.0744728947474438e13
28,5.362886853693885e14,7.034870121334451e13,3.621372899515938e13,1.1086048405766484e13,3.1596066521888508e13
29,5.362886853693885e14,7.034870121334451e13,3.290340631916579e13,2.4732371778076887e6,1.6341407650294312e13
30,5.362886853693885e14,7.034870121334451e13,4.6372754950702336e13,909991.0826676628,3.612014026880086e13
